dataset,model,fold,balanced_accuracy,f1_macro,ece,mae
NACC,CBM_Independent,0,0.9366666666666665,0.9358512297780816,0.03601284305254618,0.06333333333333334
NACC,CBM_Supervised,0,0.9400000000000001,0.9391527599486521,0.04140790065129597,0.06
NACC,CBM_Ordinal,0,0.66,0.5300884623833942,0.16189951211214065,0.3466666666666667
NACC,CBM_Hybrid,0,0.9766666666666667,0.9766380482758045,0.010282149910926809,0.023333333333333334
NACC,PlainDNN,0,0.9333333333333332,0.9325812340635723,0.012547015349070255,0.06666666666666667
NACC,LR,0,0.9866666666666667,0.9866127957444771,0.04199838643750391,0.013333333333333334
NACC,RF,0,0.9199999999999999,0.9193454108697828,0.11299999999999996,0.08
NACC,CBM_Independent,1,0.93,0.928553141934798,0.04312900125980374,0.07
NACC,CBM_Supervised,1,0.9333333333333332,0.931716833890747,0.020022690097490956,0.06666666666666667
NACC,CBM_Ordinal,1,0.6633333333333333,0.533870101986044,0.16093293339014053,0.34
NACC,CBM_Hybrid,1,0.9700000000000001,0.9698208017088182,0.009880139430363939,0.03
NACC,PlainDNN,1,0.9466666666666667,0.9462360130685762,0.02893300056457521,0.05333333333333334
NACC,LR,1,0.9700000000000001,0.969885114397845,0.0400272737495275,0.03
NACC,RF,1,0.9233333333333333,0.9227884158093665,0.11466666666666672,0.07666666666666666
NACC,CBM_Independent,2,0.9333333333333332,0.9323725981620719,0.03838143815596899,0.06666666666666667
NACC,CBM_Supervised,2,0.96,0.9598625060416778,0.032028403878211965,0.04
NACC,CBM_Ordinal,2,0.6633333333333333,0.5329496927124356,0.17020108461380004,0.34
NACC,CBM_Hybrid,2,0.9899999999999999,0.9899977494936362,0.014169780413309761,0.01
NACC,PlainDNN,2,0.96,0.9599186341203149,0.03376801898082098,0.04
NACC,LR,2,0.9966666666666667,0.9966665833312499,0.04234828431386331,0.0033333333333333335
NACC,RF,2,0.9366666666666666,0.9359524098498565,0.1242333333333333,0.06333333333333334
NACC,CBM_Independent,3,0.9666666666666667,0.9665879685207416,0.05417537887891133,0.03333333333333333
NACC,CBM_Supervised,3,0.9433333333333334,0.9431727972127062,0.0627380088965098,0.056666666666666664
NACC,CBM_Ordinal,3,0.6533333333333333,0.5228607427338928,0.19972317417462668,0.36
NACC,CBM_Hybrid,3,0.9833333333333334,0.9832586689478701,0.013060846130053183,0.016666666666666666
NACC,PlainDNN,3,0.9633333333333334,0.9631617756820762,0.03306192358334858,0.03666666666666667
NACC,LR,3,0.9833333333333334,0.9833229101521784,0.037388196514061,0.016666666666666666
NACC,RF,3,0.9566666666666667,0.9568959766520742,0.14876666666666669,0.043333333333333335
NACC,CBM_Independent,4,0.9433333333333334,0.9431330347759715,0.06291265070438384,0.056666666666666664
NACC,CBM_Supervised,4,0.9366666666666666,0.936203051832937,0.055277798970540346,0.06333333333333334
NACC,CBM_Ordinal,4,0.6666666666666666,0.5345649710265786,0.1492356802026431,0.3333333333333333
NACC,CBM_Hybrid,4,0.9833333333333334,0.9832993349586214,0.01800954282283782,0.016666666666666666
NACC,PlainDNN,4,0.9633333333333333,0.9634773657406249,0.03432114998499554,0.03666666666666667
NACC,LR,4,0.9933333333333333,0.9933162470475904,0.04953945076490623,0.006666666666666667
NACC,RF,4,0.93,0.9294032699857636,0.12126666666666663,0.07
PPMI,CBM_Independent,0,0.6789321789321789,0.6751355013550135,0.0887060183745164,0.3230769230769231
PPMI,CBM_Supervised,0,0.725108225108225,0.712583280955374,0.10748672852149377,0.2923076923076923
PPMI,CBM_Ordinal,0,0.5873015873015873,0.47370304114490164,0.10385995277991661,0.49230769230769234
PPMI,CBM_Hybrid,0,0.6031746031746031,0.5850611376927166,0.11179455518722536,0.4
PPMI,PlainDNN,0,0.6147186147186147,0.6038758500792555,0.18973475878055285,0.38461538461538464
PPMI,LR,0,0.6183261183261183,0.598340666247643,0.16855407788633658,0.38461538461538464
PPMI,RF,0,0.6796536796536796,0.6690270323991254,0.16046153846153846,0.3230769230769231
PPMI,CBM_Independent,1,0.5555555555555555,0.5316022544283414,0.15187700344966007,0.49230769230769234
PPMI,CBM_Supervised,1,0.5079365079365079,0.5017253278122843,0.14697057879888095,0.5230769230769231
PPMI,CBM_Ordinal,1,0.5144300144300145,0.4083694083694083,0.10192418648646427,0.6461538461538462
PPMI,CBM_Hybrid,1,0.5086580086580086,0.5031055900621118,0.24174127624585082,0.5230769230769231
PPMI,PlainDNN,1,0.525974025974026,0.5170632861343811,0.12019770695612983,0.5384615384615384
PPMI,LR,1,0.5692640692640693,0.5722779635823114,0.16789998874299247,0.46153846153846156
PPMI,RF,1,0.5851370851370852,0.5788537549407115,0.05446153846153851,0.49230769230769234
PPMI,CBM_Independent,2,0.588023088023088,0.5735819735819736,0.09590645065674416,0.46153846153846156
PPMI,CBM_Supervised,2,0.5728715728715729,0.5591060985797828,0.09256315964918871,0.49230769230769234
PPMI,CBM_Ordinal,2,0.4545454545454546,0.35386119257086995,0.20362575925313509,0.7692307692307693
PPMI,CBM_Hybrid,2,0.5735930735930735,0.5513784461152882,0.09832095687205977,0.47692307692307695
PPMI,PlainDNN,2,0.6031746031746031,0.5798138176186957,0.06680661760843719,0.4461538461538462
PPMI,LR,2,0.6176046176046176,0.6183398696075737,0.08432624360537275,0.4153846153846154
PPMI,RF,2,0.5865800865800866,0.5884711779448621,0.11461538461538463,0.46153846153846156
PPMI,CBM_Independent,3,0.6262626262626263,0.6101153504880213,0.07427983054747951,0.4153846153846154
PPMI,CBM_Supervised,3,0.6753246753246752,0.671031746031746,0.13024421334266664,0.36923076923076925
PPMI,CBM_Ordinal,3,0.5303030303030303,0.43710021321961623,0.13378097414970402,0.6
PPMI,CBM_Hybrid,3,0.5800865800865801,0.5634582911178656,0.10342816251974842,0.47692307692307695
PPMI,PlainDNN,3,0.6406926406926406,0.6171436588103255,0.09874881185018101,0.4
PPMI,LR,3,0.5533910533910533,0.5592818428184282,0.1429634923284657,0.49230769230769234
PPMI,RF,3,0.6601731601731601,0.6618330086233117,0.11446153846153846,0.38461538461538464
PPMI,CBM_Independent,4,0.6536796536796537,0.65,0.12713703978806734,0.375
PPMI,CBM_Supervised,4,0.637085137085137,0.5994196529186387,0.1390808979049325,0.421875
PPMI,CBM_Ordinal,4,0.5562770562770564,0.4513081395348837,0.13476762687787414,0.546875
PPMI,CBM_Hybrid,4,0.6219336219336219,0.6127715951245364,0.1709804139100015,0.421875
PPMI,PlainDNN,4,0.6212121212121212,0.5993320405085111,0.12200577091425657,0.40625
PPMI,LR,4,0.6060606060606061,0.5847672402294251,0.12254924409471804,0.4375
PPMI,RF,4,0.6233766233766234,0.6153632473067875,0.06906249999999994,0.40625
NACC,CBM_Independent,mean,0.942,0.941299594634333,0.04692226241032281,0.057999999999999996
NACC,CBM_Supervised,mean,0.9426666666666665,0.942021589785344,0.042294960498809805,0.05733333333333333
NACC,CBM_Ordinal,mean,0.6613333333333332,0.530866794168469,0.1683984768986702,0.344
NACC,CBM_Hybrid,mean,0.9806666666666667,0.9806029206769502,0.013080491741498302,0.01933333333333333
NACC,PlainDNN,mean,0.9533333333333334,0.9530750045350329,0.028526221692562116,0.04666666666666667
NACC,LR,mean,0.9860000000000001,0.9859607301346681,0.042260318355972395,0.014000000000000002
NACC,RF,mean,0.9333333333333332,0.9328770966333687,0.12438666666666667,0.06666666666666668
PPMI,CBM_Independent,mean,0.6204906204906205,0.6080870159706699,0.10758126856329349,0.4134615384615385
PPMI,CBM_Supervised,mean,0.6236652236652236,0.6087732212595652,0.12326911564343253,0.4197596153846154
PPMI,CBM_Ordinal,mean,0.5285714285714287,0.42486839896793593,0.13559169990941883,0.6109134615384615
PPMI,CBM_Hybrid,mean,0.5774891774891775,0.5631550120225037,0.14525307294697717,0.45975961538461546
PPMI,PlainDNN,mean,0.6011544011544012,0.5834457306302337,0.11949873322191149,0.43509615384615385
PPMI,LR,mean,0.5929292929292929,0.5866015164970764,0.13725860933157713,0.43826923076923074
PPMI,RF,mean,0.6269841269841269,0.6227096442429596,0.1026125,0.4135576923076923
