dataset,domain,pearson_r,p_value
NACC,Visuospatial_Executive,0.7959805982268685,0.0
NACC,Naming,0.9925885680516513,0.0
NACC,Attention,0.5497458513564547,3.297765161602768e-119
NACC,Language,0.9916627809698543,0.0
NACC,Abstraction,0.46018106066599174,1.756218324587831e-79
NACC,Delayed_Recall,0.8108204941088702,0.0
NACC,Orientation,0.352378172843764,4.338973766640656e-45
PPMI,Visuospatial_Executive,0.7468235452611495,5.3290402688425705e-59
PPMI,Naming,0.9485877542515676,6.267319824742851e-163
PPMI,Attention,0.7195206859054474,6.338968766574931e-53
PPMI,Language,0.4794280350433771,5.024396931031797e-20
PPMI,Abstraction,0.9899970539527458,6.135525310531833e-276
PPMI,Delayed_Recall,0.9868927757097042,3.790357626742618e-257
PPMI,Orientation,0.5771240333612423,3.634604615913394e-30
