dataset,model,fold,balanced_accuracy,f1_macro,mae,ece
PPMI,CBM-Ordinal,0,0.5714285714285715,0.4603174603174603,0.5230769230769231,0.13690825884158797
PPMI,CBM-OrdinalNL,0,0.6349206349206349,0.5318952142260412,0.4,0.059412313424623935
PPMI,CBM-Supervised,0,0.6789321789321789,0.6735776476305796,0.3230769230769231,0.11591207018265358
PPMI,CBM-Ordinal,1,0.5303030303030303,0.42033733770173526,0.6153846153846154,0.10155752301216125
PPMI,CBM-OrdinalNL,1,0.5584415584415584,0.4495798319327731,0.5384615384615384,0.20832154750823975
PPMI,CBM-Supervised,1,0.5252525252525252,0.4947000076626395,0.5538461538461539,0.11324806213378907
PPMI,CBM-Ordinal,2,0.4545454545454546,0.35386119257086995,0.7692307692307693,0.20689908816264227
PPMI,CBM-OrdinalNL,2,0.5909090909090908,0.5245429724596392,0.47692307692307695,0.16499652128953202
PPMI,CBM-Supervised,2,0.5577200577200577,0.5455579981895772,0.49230769230769234,0.08936939973097581
PPMI,CBM-Ordinal,3,0.5303030303030303,0.43457834155508573,0.6,0.1439800308300899
PPMI,CBM-OrdinalNL,3,0.5606060606060606,0.4572812175717744,0.5230769230769231,0.0894053679246169
PPMI,CBM-Supervised,3,0.5483405483405484,0.5246187363834424,0.49230769230769234,0.15008107973979068
PPMI,CBM-Ordinal,4,0.5252525252525252,0.42538759689922484,0.609375,0.10971579886972901
PPMI,CBM-OrdinalNL,4,0.6038961038961039,0.5072095823975523,0.46875,0.10582479601725936
PPMI,CBM-Supervised,4,0.6053391053391053,0.5750291375291375,0.4375,0.12010806147009134
NACC,CBM-Ordinal,0,0.66,0.5300884623833942,0.3466666666666667,0.16189951211214065
NACC,CBM-OrdinalNL,0,0.8933333333333332,0.8880368341668651,0.10666666666666667,0.09532009283701581
NACC,CBM-Supervised,0,0.9366666666666665,0.9355190242564705,0.06333333333333334,0.03023575365543366
NACC,CBM-Ordinal,1,0.6633333333333333,0.533870101986044,0.34,0.16093293339014053
NACC,CBM-OrdinalNL,1,0.8966666666666666,0.8920131614258883,0.10333333333333333,0.0712431133786837
NACC,CBM-Supervised,1,0.9233333333333332,0.9218709412635864,0.07666666666666666,0.017219731410344403
NACC,CBM-Ordinal,2,0.6633333333333333,0.5329496927124356,0.34,0.17020108461380004
NACC,CBM-OrdinalNL,2,0.91,0.9071431335045815,0.09,0.08822768360376358
NACC,CBM-Supervised,2,0.9566666666666667,0.9563652326602282,0.043333333333333335,0.027766353885332752
NACC,CBM-Ordinal,3,0.6533333333333333,0.5230769230769231,0.36,0.19887143671512603
NACC,CBM-OrdinalNL,3,0.9333333333333332,0.9314713064713064,0.06666666666666667,0.1151479637622833
NACC,CBM-Supervised,3,0.9433333333333334,0.9431727972127062,0.056666666666666664,0.0627380088965098
NACC,CBM-Ordinal,4,0.6666666666666666,0.5347793767681143,0.3333333333333333,0.1465642374753952
NACC,CBM-OrdinalNL,4,0.9333333333333332,0.931837155855729,0.06666666666666667,0.11538309743007023
NACC,CBM-Supervised,4,0.9133333333333334,0.9122762878826265,0.08666666666666667,0.06848218341668447
PPMI,CBM-Ordinal,mean,0.5223665223665224,0.4188963858088752,0.6234134615384616,0.1398121399432421
PPMI,CBM-OrdinalNL,mean,0.5897546897546897,0.4941017637175561,0.4814423076923077,0.12559210923285438
PPMI,CBM-Supervised,mean,0.5831168831168831,0.5626967054790752,0.4598076923076923,0.11774373465146008
NACC,CBM-Ordinal,mean,0.6613333333333332,0.5309529113853823,0.344,0.1676938408613205
NACC,CBM-OrdinalNL,mean,0.9133333333333333,0.9101003182848739,0.08666666666666667,0.09706439020236333
NACC,CBM-Supervised,mean,0.9346666666666665,0.9338408566551235,0.06533333333333333,0.04128840625286102
