model,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
DCM-DNN,1,0.6511904761904762,0.7495780464511282,0.4639436625545689,0.44485378080914734,0.6281273310781508,0.6281273310781508
PlainDNN,1,0.7023809523809523,0.7850922537832109,0.5129232143881826,0.47954268164415836,0.6666519212420852,0.6666519212420852
LR,1,0.6428571428571429,0.7759462610510836,0.46530615751748966,0.4491002968909117,0.6450984473935293,0.6450984473935293
RF,1,0.6488095238095238,0.7591105658412497,0.45045303022957645,0.4405744622720246,0.6249249718102177,0.6249249718102177
SVM,1,0.6821428571428572,0.7772280137030503,0.48076940868164497,0.45545799465049236,0.6269780553387111,0.6269780553387111
XGBoost,1,0.6630952380952381,0.731743970641717,0.45818110737154405,0.4403868860754749,0.6486755139214155,0.6486755139214155
DCM-DNN,2,0.6880952380952381,0.7148316660571838,0.4629331366099941,0.441061796514098,0.5504154740220314,0.5504154740220314
PlainDNN,2,0.6440476190476191,0.7020902836443282,0.44782237573666867,0.43698781465047176,0.5260343481654957,0.5260343481654957
LR,2,0.6511904761904762,0.7214532073405661,0.4415428287559435,0.43320825828830634,0.5514519906323185,0.5514519906323185
RF,2,0.594047619047619,0.7152917866286651,0.4233107155886491,0.42398953604771195,0.5263387978142077,0.5263387978142077
SVM,2,0.6892857142857143,0.7130256647655587,0.4676855594286786,0.4423173386333523,0.5666779425795819,0.5666779425795819
XGBoost,2,0.5428571428571428,0.6481128433450144,0.38063898390004197,0.3935066044172621,0.49007025761124123,0.49007025761124123
DCM-DNN,3,0.594047619047619,0.7231184807709097,0.4485140267231779,0.4407204827587303,0.6548911440714719,0.6548911440714719
PlainDNN,3,0.6476190476190476,0.7147226260116964,0.46109435089194845,0.437472598692362,0.6447350160464914,0.6447350160464914
LR,3,0.6273809523809524,0.7541702221622394,0.4811694930960986,0.4565253905421331,0.6862668054471334,0.6862668054471334
RF,3,0.5642857142857143,0.7335406057450227,0.43070995297431464,0.4299083631115774,0.6226880041634141,0.6226880041634141
SVM,3,0.6595238095238095,0.7581141493520548,0.48391885891885894,0.45619385930390716,0.6675453204961402,0.6675453204961402
XGBoost,3,0.5714285714285714,0.7301166138188494,0.4442776846438921,0.4428473396563977,0.6481056466302367,0.6481056466302367
DCM-DNN,4,0.7178571428571429,0.7281215572729693,0.5094731337334109,0.4723222695489577,0.6091881162016198,0.6091881162016198
PlainDNN,4,0.6642857142857143,0.7307459286662823,0.49962976686519456,0.46803750666634825,0.6325684000759892,0.6325684000759892
LR,4,0.638095238095238,0.7261985739944631,0.4634372348821785,0.4405764730134478,0.5906366431332412,0.5906366431332412
RF,4,0.6083333333333333,0.7025972532362316,0.46703332652266,0.4488713850837138,0.6032795592619732,0.6032795592619732
SVM,4,0.6738095238095239,0.727837076616877,0.47806472406382783,0.4474591797823885,0.5960101732633921,0.5960101732633921
XGBoost,4,0.5785714285714286,0.6849777525016126,0.4432597220769398,0.42977692269402734,0.6162752829245032,0.6162752829245032
DCM-DNN,5,0.6805721096543504,0.725074811944983,0.49603575011575857,0.4637012006084627,0.602357402013808,0.602357402013808
