dataset,model,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
NACC,DCM-LSTM,1,0.985,0.9990589063583375,0.9816277274717172,0.9820573274354788,0.981247532570075,0.981247532570075
NACC,LSTMOnly,1,0.9725,0.9975747320274571,0.968212236019541,0.9714692698563666,0.9651478444460265,0.9651478444460265
NACC,DCM-DNN-CrossSection,1,0.9625,0.9979422224191231,0.9615476988639388,0.9634051713348853,0.9611133043821556,0.9611133043821556
NACC,LR-HandCraft,1,0.9825,0.9990764828775159,0.9781567150638987,0.9769289959952824,0.9794260389453027,0.9794260389453027
NACC,XGBoost-HandCraft,1,0.9275,0.9889499716719837,0.9210767437929777,0.9379527906673908,0.9083038320400226,0.9083038320400226
NACC,DCM-LSTM,2,0.9775,0.9977048598786004,0.975553742263151,0.97618615013573,0.9750312432665375,0.9750312432665375
NACC,LSTMOnly,2,0.985,0.9981545692550005,0.9847693381193025,0.9827583028446637,0.9870573870573871,0.9870573870573871
NACC,DCM-DNN-CrossSection,2,0.9475,0.9969019348525561,0.9415589773161032,0.9329845725755805,0.9548962148962149,0.9548962148962149
NACC,LR-HandCraft,2,0.98,0.9994908438093418,0.9791712022898055,0.9803767220888867,0.9780349062702004,0.9780349062702004
NACC,XGBoost-HandCraft,2,0.9475,0.9955959867291387,0.9478094351605413,0.9578921273506392,0.9392085039143862,0.9392085039143862
NACC,DCM-LSTM,3,0.9625,0.9970887609434831,0.9635495501180821,0.9659452126795319,0.9617532141061553,0.9617532141061553
NACC,LSTMOnly,3,0.9725,0.9971644619172602,0.970076945164219,0.9688270585556843,0.9713682396035338,0.9713682396035338
NACC,DCM-DNN-CrossSection,3,0.955,0.9954160615628691,0.9449756290955243,0.9369606219267724,0.9558126840479781,0.9558126840479781
NACC,LR-HandCraft,3,0.985,0.9987748681642351,0.9802496095661325,0.978840579710145,0.981697909933204,0.981697909933204
NACC,XGBoost-HandCraft,3,0.93,0.9925816663127884,0.9274745652895895,0.9403978812515398,0.918348775407599,0.918348775407599
NACC,DCM-LSTM,4,0.97,0.9965947209333947,0.969538676238605,0.9675238946084689,0.9718257559434029,0.9718257559434029
NACC,LSTMOnly,4,0.9625,0.9969837844113506,0.9606148060693515,0.955879927170377,0.9659405300581771,0.9659405300581771
