experiment,model,fold,eval_dataset,accuracy,balanced_accuracy,f1_macro,auc_macro,asc_params
A5,DCM-DNN,0,NACC,0.9725609756097561,0.9724670013013572,0.9725484725903194,0.996207473508087,"[0.0, 0.05243192985653877]"
A5,DCM-DNN,0,PPMI,0.5769230769230769,0.5782894736842106,0.5762962962962963,0.6401315789473685,"[0.0, 0.05243192985653877]"
A5,PlainDNN,0,NACC,0.9695121951219512,0.9693995166387804,0.9694940476190477,0.9946458449525934,
A5,PlainDNN,0,PPMI,0.6410256410256411,0.6434210526315789,0.6388888888888888,0.6763157894736842,
A5,LR,0,NACC,0.9603658536585366,0.9601970626510503,0.9603212268408662,0.9819669083472764,
A5,LR,0,PPMI,0.6410256410256411,0.6414473684210527,0.6410256410256411,0.7065789473684211,
A5,DCM-DNN,1,NACC,0.9669669669669669,0.9671536796536797,0.9669621999945883,0.9972943722943722,"[0.0, 0.0015395687660202384]"
A5,DCM-DNN,1,PPMI,0.6805555555555556,0.683011583011583,0.6790075596045746,0.7907335907335907,"[0.0, 0.0015395687660202384]"
A5,PlainDNN,1,NACC,0.963963963963964,0.9639610389610389,0.9639610389610389,0.9963564213564214,
A5,PlainDNN,1,PPMI,0.6944444444444444,0.6957528957528958,0.6942084942084943,0.7876447876447877,
A5,LR,1,NACC,0.9819819819819819,0.982034632034632,0.981981819493543,0.9986652236652237,
A5,LR,1,PPMI,0.75,0.7513513513513514,0.7498069498069498,0.7891891891891891,
A5,DCM-DNN,2,NACC,0.967551622418879,0.9678491853502298,0.9675504929644874,0.9963793343545466,"[0.0, -0.010668096132576466]"
A5,DCM-DNN,2,PPMI,0.6363636363636364,0.6387096774193548,0.6363636363636364,0.6414746543778802,"[0.0, -0.010668096132576466]"
A5,PlainDNN,2,NACC,0.976401179941003,0.976570115582788,0.9764009745910198,0.9972148725804205,
A5,PlainDNN,2,PPMI,0.6060606060606061,0.6027649769585253,0.6027777777777777,0.6589861751152073,
A5,LR,2,NACC,0.9911504424778761,0.9912790697674418,0.9911501344448602,0.9976326416933574,
A5,LR,2,PPMI,0.6212121212121212,0.62073732718894,0.6204278812974464,0.6857142857142857,
