experiment,model,fold,balanced_accuracy,f1_macro,auc_macro,repeat
C1_PPMI_CV,Ensemble-DCM-DNN,0.0,0.6111111111111112,0.5860570119280274,0.8020833333333334,
C1_PPMI_CV,DCM-DNN-single,0.0,0.6203703703703703,0.5904216690616356,0.8006687242798355,
C1_PPMI_CV,LR,0.0,0.5833333333333334,0.5808219178082191,0.7665895061728395,
C1_PPMI_CV,Ensemble-DCM-DNN,1.0,0.5740740740740741,0.5353488130486728,0.7653034979423868,
C1_PPMI_CV,DCM-DNN-single,1.0,0.5925925925925926,0.5436170212765957,0.7559156378600823,
C1_PPMI_CV,LR,1.0,0.5925925925925927,0.5918803418803419,0.7614454732510287,
C1_PPMI_CV,Ensemble-DCM-DNN,2.0,0.6574074074074074,0.6389417614684314,0.808256172839506,
C1_PPMI_CV,DCM-DNN-single,2.0,0.6574074074074073,0.6338156338156339,0.8109567901234568,
C1_PPMI_CV,LR,2.0,0.6018518518518519,0.5837606837606838,0.7853652263374485,
C1_PPMI_NACC,Ensemble-DCM-DNN,,0.7173333333333334,0.6880890636321845,0.8973473333333333,0.0
C1_PPMI_NACC,DCM-DNN-single,,0.6966666666666667,0.6648261281729223,0.884636,0.0
C1_PPMI_NACC,LR,,0.6833333333333332,0.6654972144658681,0.8666686666666666,0.0
C1_PPMI_NACC,Ensemble-DCM-DNN,,0.75,0.727037931082471,0.9231306666666667,1.0
C1_PPMI_NACC,DCM-DNN-single,,0.7266666666666667,0.6889109822979996,0.9145373333333332,1.0
C1_PPMI_NACC,LR,,0.6826666666666666,0.6648674294902653,0.8667360000000001,1.0
C1_PPMI_NACC,Ensemble-DCM-DNN,,0.7313333333333333,0.715636601172614,0.9176386666666666,2.0
C1_PPMI_NACC,DCM-DNN-single,,0.7226666666666667,0.688661145282349,0.923826,2.0
C1_PPMI_NACC,LR,,0.6826666666666666,0.6646660224061948,0.8666959999999998,2.0
