dataset,feature_dim,model,fold,accuracy,balanced_accuracy,f1_macro,auc_macro
NACC,20d,DCM-DNN,0,0.95,0.9499999999999998,0.9491822247240204,0.9968333333333333
NACC,20d,PlainDNN,0,0.9533333333333334,0.9533333333333335,0.9530044878350782,0.9959333333333333
NACC,20d,LR,0,0.9866666666666667,0.9866666666666667,0.986596618845558,1.0
NACC,20d,RF,0,0.9166666666666666,0.9166666666666666,0.9158336179883627,0.9903583333333333
NACC,20d,XGBoost,0,0.9333333333333333,0.9333333333333332,0.9329332693791189,0.9937333333333335
NACC,20d,DCM-DNN,1,0.9633333333333334,0.9633333333333334,0.9630629187421258,0.9959666666666666
NACC,20d,PlainDNN,1,0.9533333333333334,0.9533333333333335,0.9531202771038078,0.9949833333333333
NACC,20d,LR,1,0.98,0.98,0.9799022655559684,0.9996333333333333
NACC,20d,RF,1,0.9233333333333333,0.9233333333333332,0.9223450382066813,0.9896833333333334
NACC,20d,XGBoost,1,0.9433333333333334,0.9433333333333334,0.9424385065240696,0.9944333333333333
NACC,20d,DCM-DNN,2,0.98,0.98,0.979838504900716,0.9990333333333333
NACC,20d,PlainDNN,2,0.98,0.98,0.979854443904063,0.9989333333333333
NACC,20d,LR,2,1.0,1.0,1.0,1.0
NACC,20d,RF,2,0.9333333333333333,0.9333333333333332,0.9329332693791189,0.9938666666666668
NACC,20d,XGBoost,2,0.9466666666666667,0.9466666666666667,0.9464633129979664,0.9945166666666667
NACC,20d,DCM-DNN,3,0.9566666666666667,0.9566666666666667,0.9563825348052046,0.9983000000000001
NACC,20d,PlainDNN,3,0.9733333333333334,0.9733333333333333,0.9731500439310153,0.9983
NACC,20d,LR,3,0.9866666666666667,0.9866666666666667,0.9866613311991462,0.9998166666666667
NACC,20d,RF,3,0.96,0.96,0.9600929480703172,0.9965083333333332
NACC,20d,XGBoost,3,0.9466666666666667,0.9466666666666667,0.9470758336737718,0.9970166666666668
NACC,20d,DCM-DNN,4,0.95,0.9500000000000001,0.9499950366351336,0.9959000000000001
NACC,20d,PlainDNN,4,0.9633333333333334,0.9633333333333333,0.9633663528986579,0.99635
NACC,20d,LR,4,0.9933333333333333,0.9933333333333333,0.9933162470475904,0.9997833333333334
NACC,20d,RF,4,0.9433333333333334,0.9433333333333334,0.9431311768809468,0.9927083333333333
NACC,20d,XGBoost,4,0.95,0.9500000000000001,0.9499163730026784,0.9971833333333334
NACC,24d,DCM-DNN,0,0.9366666666666666,0.9366666666666666,0.9356937924068404,0.99405
NACC,24d,PlainDNN,0,0.9466666666666667,0.9466666666666667,0.9457412380362183,0.9948499999999999
NACC,24d,LR,0,0.9866666666666667,0.9866666666666667,0.9866127957444771,0.9999333333333333
NACC,24d,RF,0,0.92,0.9199999999999999,0.9195758303321329,0.9892249999999999
NACC,24d,XGBoost,0,0.93,0.93,0.9292944434087033,0.9917166666666667
NACC,24d,DCM-DNN,1,0.9266666666666666,0.9266666666666667,0.92491607871515,0.9939333333333332
NACC,24d,PlainDNN,1,0.9433333333333334,0.9433333333333334,0.9429205663186284,0.9952833333333334
NACC,24d,LR,1,0.97,0.9700000000000001,0.969885114397845,0.9992666666666667
NACC,24d,RF,1,0.92,0.9199999999999999,0.9192533708270244,0.987625
NACC,24d,XGBoost,1,0.9166666666666666,0.9166666666666666,0.9156558107003923,0.9894833333333333
NACC,24d,DCM-DNN,2,0.97,0.9700000000000001,0.97001600040001,0.9969333333333332
NACC,24d,PlainDNN,2,0.97,0.9700000000000001,0.9698947263134206,0.9969
NACC,24d,LR,2,0.9966666666666667,0.9966666666666667,0.9966665833312499,1.0
NACC,24d,RF,2,0.93,0.93,0.9291978483833471,0.9925
NACC,24d,XGBoost,2,0.9366666666666666,0.9366666666666666,0.9363748178742414,0.9933166666666667
NACC,24d,DCM-DNN,3,0.97,0.9700000000000001,0.9698999374609131,0.9983166666666667
NACC,24d,PlainDNN,3,0.97,0.9700000000000001,0.9700482611075177,0.99715
