model,fold,eval_dataset,accuracy,balanced_accuracy,f1_macro,auc_macro
DCM-DNN,0,NACC,0.958904109589041,0.9582428533506243,0.958106334794894,0.9970331172215187
DCM-DNN,0,PPMI,0.547945205479452,0.5738898971566848,0.5537370430987453,0.7576685029361981
PlainDNN,0,NACC,0.952054794520548,0.950422771798967,0.9506558648604981,0.9959195443500738
PlainDNN,0,PPMI,0.5342465753424658,0.5642347247428917,0.5345804988662132,0.7275142175943748
LR,0,NACC,0.9657534246575342,0.9645151650978635,0.9646781789638933,0.9968000245185363
LR,0,PPMI,0.547945205479452,0.5617906836055656,0.558281446791904,0.7546685905230975
RF,0,NACC,0.9143835616438356,0.9126891738796802,0.9124554589699113,0.9875426252211573
RF,0,PPMI,0.6164383561643836,0.64162129461585,0.6205450733752621,0.757998384734622
XGBoost,0,NACC,0.9143835616438356,0.9143968702266823,0.9143194441164653,0.9875394700291401
XGBoost,0,PPMI,0.547945205479452,0.5762613430127042,0.5516583444972192,0.7466181730594919
DCM-DNN,1,NACC,0.9450171821305842,0.9460883343236285,0.9445049299916022,0.9971880303832674
DCM-DNN,1,PPMI,0.5945945945945946,0.5889668069191211,0.600487937110328,0.761195430523824
PlainDNN,1,NACC,0.9518900343642611,0.9532580709051297,0.9515295546079128,0.9966591294205673
PlainDNN,1,PPMI,0.6216216216216216,0.6282141187470781,0.6307866736438165,0.7778154819798063
LR,1,NACC,0.979381443298969,0.9800950683303625,0.9796353261699796,0.9970178163732452
LR,1,PPMI,0.5945945945945946,0.6120149602618046,0.6128760339286655,0.7645234003158362
RF,1,NACC,0.9381443298969072,0.9397900574371163,0.9373507829506355,0.9945796036118018
RF,1,PPMI,0.5945945945945946,0.5942730247779336,0.6045573704375883,0.7696934297986736
XGBoost,1,NACC,0.9312714776632303,0.9325807090512973,0.9311025225600319,0.9928786435340674
XGBoost,1,PPMI,0.6216216216216216,0.627606358111267,0.6251871817909554,0.7736536945167427
DCM-DNN,2,NACC,0.9511400651465798,0.9510755758614126,0.9506947436764254,0.9953979839627065
DCM-DNN,2,PPMI,0.5862068965517241,0.5929824561403508,0.5597939118926073,0.8180949167791273
PlainDNN,2,NACC,0.9609120521172638,0.9608160416270067,0.9605407284731076,0.995508489922135
PlainDNN,2,PPMI,0.6724137931034483,0.6780701754385965,0.6551578502798016,0.8260796221322537
LR,2,NACC,0.9543973941368078,0.9542800939145885,0.9537510162145447,0.9959071007043594
LR,2,PPMI,0.603448275862069,0.6087719298245614,0.5916971916971917,0.8150697255960413
RF,2,NACC,0.9446254071661238,0.9445396281489943,0.9440606147792896,0.9930230344565011
RF,2,PPMI,0.6724137931034483,0.6763157894736843,0.6689159747983277,0.8327091767881242
XGBoost,2,NACC,0.9315960912052117,0.9315311885271909,0.9312151003756508,0.9896923786485153
XGBoost,2,PPMI,0.6551724137931034,0.6614035087719299,0.632936507936508,0.8044421952316689
DCM-DNN,3,NACC,0.9466666666666667,0.9481566089218859,0.9462200647767659,0.9958736954922262
DCM-DNN,3,PPMI,0.6,0.5834008097165991,0.5494140882159315,0.7744094148987654
PlainDNN,3,NACC,0.95,0.9513293990735453,0.9501461335388252,0.9959951013710476
PlainDNN,3,PPMI,0.6461538461538462,0.6390013495276653,0.6069444444444444,0.7654706621913099
LR,3,NACC,0.9633333333333334,0.9643061107938321,0.9635029112254502,0.9964482069236089
LR,3,PPMI,0.6461538461538462,0.6398785425101213,0.6199003714961161,0.8259725952104054
RF,3,NACC,0.94,0.9406257410134894,0.9394149539780609,0.9930123131444933
RF,3,PPMI,0.5846153846153846,0.5800269905533063,0.5628005433740865,0.7589060350616416
XGBoost,3,NACC,0.9566666666666667,0.9573520227372162,0.9563396041098141,0.9936152129595377
XGBoost,3,PPMI,0.49230769230769234,0.4838731443994602,0.4884559884559884,0.7242678323456356
DCM-DNN,4,NACC,0.9516129032258065,0.9518608414239482,0.9509971247450316,0.9944054946429367
DCM-DNN,4,PPMI,0.7037037037037037,0.6998624011007912,0.6989684412973163,0.8042836622557985
PlainDNN,4,NACC,0.9387096774193548,0.9390403286034354,0.9375080425693479,0.9949510323877145
PlainDNN,4,PPMI,0.5555555555555556,0.5491916064671484,0.5316976127320955,0.7698669220599045
LR,4,NACC,0.9774193548387097,0.9775018670649738,0.977407158565477,0.9973047068076616
LR,4,PPMI,0.5740740740740741,0.5718380919619309,0.5583333333333333,0.797290030459965
RF,4,NACC,0.932258064516129,0.9324433656957929,0.9320351327580125,0.9905202106025239
RF,4,PPMI,0.6666666666666666,0.6668386652906778,0.669172932330827,0.7942542498270052
XGBoost,4,NACC,0.9354838709677419,0.9356173761513568,0.9355682957927595,0.9897615087568653
XGBoost,4,PPMI,0.6111111111111112,0.608015135878913,0.6041165004013301,0.7773785838027324
