config,model,fold,eval_dataset,accuracy,balanced_accuracy,f1_macro,auc_macro
full_24d,DCM-DNN,0,NACC,0.952054794520548,0.9507962963768842,0.9509978852762359,0.9962794163493996
full_24d,DCM-DNN,0,PPMI,0.5068493150684932,0.5315184513006654,0.512156862745098,0.7072766839599871
full_24d,DCM-DNN,1,NACC,0.9484536082474226,0.9497920380273323,0.9479784625607147,0.9968624478452788
full_24d,DCM-DNN,1,PPMI,0.5945945945945946,0.5852267414679756,0.5912162162162162,0.7682183315792006
full_24d,DCM-DNN,2,NACC,0.9674267100977199,0.9673202614379085,0.9671605319100044,0.9963529937983561
full_24d,DCM-DNN,2,PPMI,0.6379310344827587,0.6447368421052632,0.6090050783205779,0.8283513270355377
full_24d,DCM-DNN,3,NACC,0.9533333333333334,0.9542613911515891,0.953549747491802,0.9959849526263129
full_24d,DCM-DNN,3,PPMI,0.6461538461538462,0.6342780026990553,0.5955555555555555,0.7620645867591828
full_24d,DCM-DNN,4,NACC,0.9483870967741935,0.94865571321882,0.9476461567872594,0.9961044937036917
full_24d,DCM-DNN,4,PPMI,0.6481481481481481,0.6410388716890264,0.6282372598162071,0.792563573205128
no_demo_20d,DCM-DNN,0,NACC,0.9657534246575342,0.9654758122890312,0.9652706958472405,0.9979066800674364
no_demo_20d,DCM-DNN,0,PPMI,0.4657534246575342,0.5012462189957653,0.46410556263417874,0.6949392900572574
no_demo_20d,DCM-DNN,1,NACC,0.9553264604810997,0.9565260447613388,0.9551775889317752,0.9977559787630147
no_demo_20d,DCM-DNN,1,PPMI,0.6216216216216216,0.627606358111267,0.627541074909496,0.7488818508027594
no_demo_20d,DCM-DNN,2,NACC,0.9609120521172638,0.9608160416270067,0.9605407284731076,0.9962755312875803
no_demo_20d,DCM-DNN,2,PPMI,0.6379310344827587,0.6456140350877193,0.5917608698410283,0.8431455240665766
no_demo_20d,DCM-DNN,3,NACC,0.9533333333333334,0.9545973729297544,0.9531590413943354,0.9964855781096799
no_demo_20d,DCM-DNN,3,PPMI,0.6307692307692307,0.6176113360323886,0.5821528611444577,0.7778322152464029
no_demo_20d,DCM-DNN,4,NACC,0.9290322580645162,0.9294249439880508,0.9272949816401468,0.9959020028405846
no_demo_20d,DCM-DNN,4,PPMI,0.6666666666666666,0.6606467148262815,0.6534120327223776,0.7907689337083902
no_gds_23d,DCM-DNN,0,NACC,0.9554794520547946,0.9538591979158054,0.9542526063489488,0.9969569449403474
no_gds_23d,DCM-DNN,0,PPMI,0.5342465753424658,0.5623956442831216,0.5373395735105636,0.7151261251351996
no_gds_23d,DCM-DNN,1,NACC,0.9484536082474226,0.9494553376906318,0.9481029581449336,0.9970346836198338
no_gds_23d,DCM-DNN,1,PPMI,0.581081081081081,0.5856942496493689,0.5912698412698413,0.7588006656395557
no_gds_23d,DCM-DNN,2,NACC,0.9739413680781759,0.9738879370518433,0.9737265869988981,0.9977559861263946
no_gds_23d,DCM-DNN,2,PPMI,0.6379310344827587,0.6429824561403509,0.6268292682926829,0.8233468286099864
no_gds_23d,DCM-DNN,3,NACC,0.96,0.9608607946670408,0.9597806380415076,0.9967310797880481
no_gds_23d,DCM-DNN,3,PPMI,0.6307692307692307,0.6261808367071525,0.5943320674778475,0.7987080842775263
no_gds_23d,DCM-DNN,4,NACC,0.9580645161290322,0.9582710978342046,0.9576262190250704,0.9971796345002338
no_gds_23d,DCM-DNN,4,PPMI,0.6481481481481481,0.6431028551771586,0.6341880341880342,0.812720890825466
no_asc,PlainDNN,0,NACC,0.9486301369863014,0.9469997635553158,0.9471459373891209,0.9944286188918495
no_asc,PlainDNN,0,PPMI,0.5342465753424658,0.5521355111917726,0.5370428313169239,0.7330908449284129
no_asc,PlainDNN,1,NACC,0.9553264604810997,0.9566250742721332,0.9553005546366045,0.9981211443654132
no_asc,PlainDNN,1,PPMI,0.5945945945945946,0.6067087424029921,0.6086753003588704,0.7717211266205771
no_asc,PlainDNN,2,NACC,0.9576547231270358,0.9575163398692811,0.9569774944784065,0.9968624200805115
no_asc,PlainDNN,2,PPMI,0.603448275862069,0.6114035087719298,0.555838562815307,0.8158457040035988
no_asc,PlainDNN,3,NACC,0.9566666666666667,0.9578336188844471,0.956638260157599,0.9954865323395022
no_asc,PlainDNN,3,PPMI,0.6461538461538462,0.6342780026990553,0.5932622385824357,0.7911726648181497
no_asc,PlainDNN,4,NACC,0.9548387096774194,0.9550348518795121,0.9544444444444444,0.9950444608000538
no_asc,PlainDNN,4,PPMI,0.6111111111111112,0.6038871689026487,0.5885547201336675,0.7855237233892204
