dataset,train_size_per_class,fold,model,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
NACC,200,0,DCM-DNN,0.975,0.9751015783716205,0.9976041666666666,0.975,0.9833333333333333,0.9875,0.9990625,0.98125
NACC,200,0,PlainDNN,0.9666666666666667,0.9666562434855117,0.9980208333333334,0.9666666666666667,0.9833333333333333,0.9873417721518988,0.999375,0.9875
NACC,200,0,LR,0.9833333333333333,0.9834311001337861,0.999375,0.9833333333333334,0.9916666666666667,0.9937888198757764,0.999375,0.9875
NACC,200,0,RF,0.9416666666666667,0.9420702754036087,0.9928125,0.9416666666666668,0.9583333333333334,0.9685534591194969,0.994375,0.95625
NACC,200,0,XGBoost,0.9583333333333334,0.9582239412408189,0.9936458333333333,0.9583333333333334,0.975,0.9811320754716981,0.9965625,0.975
NACC,200,1,DCM-DNN,0.9333333333333333,0.9327694235588972,0.993125,0.9333333333333332,0.9833333333333333,0.9875,0.9959374999999999,0.98125
NACC,200,1,PlainDNN,0.95,0.9492903387428857,0.9955208333333333,0.9500000000000001,0.975,0.9811320754716981,0.9978125,0.975
NACC,200,1,LR,0.9416666666666667,0.9402986052422974,0.9970833333333333,0.9416666666666668,0.9583333333333334,0.967741935483871,0.9993749999999999,0.96875
NACC,200,1,RF,0.875,0.8732143303483921,0.98734375,0.875,0.9083333333333333,0.9271523178807947,0.9956250000000001,0.925
NACC,200,1,XGBoost,0.875,0.8704678501235622,0.9866666666666667,0.875,0.9333333333333333,0.9473684210526315,0.995,0.95
NACC,200,2,DCM-DNN,0.9416666666666667,0.9409821102592186,0.9902083333333334,0.9416666666666668,0.975,0.9808917197452229,0.99875,0.98125
NACC,200,2,PlainDNN,0.95,0.9488765874308043,0.9901041666666667,0.9500000000000001,0.975,0.9808917197452229,0.9993749999999999,0.98125
NACC,200,2,LR,0.9583333333333334,0.9583268218992552,0.9959375,0.9583333333333334,1.0,1.0,1.0,1.0
NACC,200,2,RF,0.9083333333333333,0.9069934640522875,0.9823958333333334,0.9083333333333332,0.9416666666666667,0.9548387096774194,0.9965625,0.95
NACC,200,2,XGBoost,0.9166666666666666,0.915435461326436,0.9818749999999999,0.9166666666666666,0.9583333333333334,0.967741935483871,0.9968750000000001,0.96875
NACC,200,3,DCM-DNN,0.9833333333333333,0.9832225387780943,0.9970833333333333,0.9833333333333334,0.9916666666666667,0.9937106918238994,1.0,0.99375
NACC,200,3,PlainDNN,0.975,0.9748932124811168,0.9984375,0.975,0.9833333333333333,0.9875,0.9990625000000001,0.98125
NACC,200,3,LR,0.9916666666666667,0.991665364379851,1.0,0.9916666666666667,1.0,1.0,1.0,1.0
NACC,200,3,RF,0.9,0.90128021456841,0.9859375,0.9,0.9583333333333334,0.968944099378882,0.9921875,0.95
NACC,200,3,XGBoost,0.9083333333333333,0.9092595863837692,0.985,0.9083333333333332,0.95,0.963855421686747,0.993125,0.925
NACC,200,4,DCM-DNN,0.9666666666666667,0.9668622002675722,0.9963541666666668,0.9666666666666667,0.9916666666666667,0.9937888198757764,0.9984375,0.9875
NACC,200,4,PlainDNN,0.9583333333333334,0.9578792180418197,0.9947916666666666,0.9583333333333334,0.975,0.9811320754716981,0.99875,0.975
NACC,200,4,LR,0.9833333333333333,0.9833320310465177,0.9980208333333334,0.9833333333333334,0.9916666666666667,0.9937888198757764,1.0,0.9875
NACC,200,4,RF,0.9416666666666667,0.9409821102592186,0.9921875,0.9416666666666668,0.9666666666666667,0.975,0.9974999999999999,0.9624999999999999
NACC,200,4,XGBoost,0.9666666666666667,0.9664450775561887,0.9961458333333334,0.9666666666666667,0.9916666666666667,0.9937106918238994,0.9996875000000001,0.99375
NACC,500,0,DCM-DNN,0.9566666666666667,0.9561392591190221,0.9961833333333333,0.9566666666666667,0.98,0.9849246231155779,0.9981,0.98
NACC,500,0,PlainDNN,0.9666666666666667,0.9663294909588046,0.9972166666666666,0.9666666666666667,0.9866666666666667,0.9899497487437185,0.9983500000000001,0.9875
NACC,500,0,LR,0.9966666666666667,0.9966665833312499,0.9992166666666668,0.9966666666666667,0.9966666666666667,0.9974937343358395,0.99925,0.9975
NACC,500,0,RF,0.9433333333333334,0.9428880986572293,0.9923166666666666,0.9433333333333334,0.9666666666666667,0.9744897959183674,0.9970749999999999,0.9724999999999999
