train_size,fold,model,eval_dataset,auc
50,0,DCM-DNN Joint,NACC,0.9797979797979798
50,0,DCM-DNN Joint,PPMI,
50,0,LR Joint,NACC,1.0
50,0,LR Joint,PPMI,0.8086533224400871
50,0,DCM-DNN Independent,NACC,0.9936868686868686
50,0,LR Independent,NACC,0.9911616161616162
50,1,DCM-DNN Joint,NACC,
50,1,DCM-DNN Joint,PPMI,
50,1,LR Joint,NACC,0.9365034965034965
50,1,LR Joint,PPMI,0.747892383750331
50,1,DCM-DNN Independent,NACC,0.942910607910608
50,1,LR Independent,NACC,0.9546595996595997
50,2,DCM-DNN Joint,NACC,
50,2,DCM-DNN Joint,PPMI,
50,2,LR Joint,NACC,0.9879200948499195
50,2,LR Joint,PPMI,0.8593337919963308
50,2,DCM-DNN Independent,NACC,0.993282870475853
50,2,LR Independent,NACC,0.9912786596119929
50,3,DCM-DNN Joint,NACC,
50,3,DCM-DNN Joint,PPMI,
50,3,LR Joint,NACC,0.9648506069094305
50,3,LR Joint,PPMI,0.8630116959064328
50,3,DCM-DNN Independent,NACC,0.9823280423280423
50,3,LR Independent,NACC,0.9947089947089948
50,4,DCM-DNN Joint,NACC,
50,4,DCM-DNN Joint,PPMI,
50,4,LR Joint,NACC,0.9799719887955182
50,4,LR Joint,PPMI,0.8095610173894118
50,4,DCM-DNN Independent,NACC,0.9917366946778712
50,4,LR Independent,NACC,0.9941176470588236
100,0,DCM-DNN Joint,NACC,
100,0,DCM-DNN Joint,PPMI,
100,0,LR Joint,NACC,0.9782196969696969
100,0,LR Joint,PPMI,0.8418650793650794
100,0,DCM-DNN Independent,NACC,0.9713027009222662
100,0,LR Independent,NACC,0.9810194334650856
100,1,DCM-DNN Joint,NACC,
100,1,DCM-DNN Joint,PPMI,
100,1,LR Joint,NACC,0.9913588802477692
100,1,LR Joint,PPMI,0.8295892858870363
100,1,DCM-DNN Independent,NACC,0.9868747351203492
100,1,LR Independent,NACC,0.9862083610621623
100,2,DCM-DNN Joint,NACC,0.9801900584795321
100,2,DCM-DNN Joint,PPMI,0.7858798559727352
100,2,LR Joint,NACC,0.9973684210526317
100,2,LR Joint,PPMI,0.8115722223771759
100,2,DCM-DNN Independent,NACC,0.9938109161793373
100,2,LR Independent,NACC,0.9897173489278752
100,3,DCM-DNN Joint,NACC,0.9917677470096825
100,3,DCM-DNN Joint,PPMI,
100,3,LR Joint,NACC,0.9965735320574031
100,3,LR Joint,PPMI,0.8327562959915902
100,3,DCM-DNN Independent,NACC,1.0
100,3,LR Independent,NACC,1.0
100,4,DCM-DNN Joint,NACC,
100,4,DCM-DNN Joint,PPMI,
100,4,LR Joint,NACC,0.9985294117647059
100,4,LR Joint,PPMI,0.8416959739680604
100,4,DCM-DNN Independent,NACC,0.9980392156862745
100,4,LR Independent,NACC,1.0
200,0,DCM-DNN Joint,NACC,0.9888700196928516
200,0,DCM-DNN Joint,PPMI,
200,0,LR Joint,NACC,0.9916913014503823
200,0,LR Joint,PPMI,0.8155758807588076
200,0,DCM-DNN Independent,NACC,0.9885388005866137
200,0,LR Independent,NACC,0.9969592809381543
200,1,DCM-DNN Joint,NACC,
200,1,DCM-DNN Joint,PPMI,
200,1,LR Joint,NACC,0.9986790583573147
200,1,LR Joint,PPMI,0.8635090399796282
200,1,DCM-DNN Independent,NACC,0.9991292006730513
200,1,LR Independent,NACC,1.0
200,2,DCM-DNN Joint,NACC,
200,2,DCM-DNN Joint,PPMI,
200,2,LR Joint,NACC,0.9909064224434859
200,2,LR Joint,PPMI,0.8278277656650029
200,2,DCM-DNN Independent,NACC,0.9927400145243283
200,2,LR Independent,NACC,0.9925792786250303
200,3,DCM-DNN Joint,NACC,
200,3,DCM-DNN Joint,PPMI,
200,3,LR Joint,NACC,0.9985650376974861
200,3,LR Joint,PPMI,0.8204901329901331
200,3,DCM-DNN Independent,NACC,0.9988454439404272
200,3,LR Independent,NACC,0.9995906749534412
200,4,DCM-DNN Joint,NACC,
200,4,DCM-DNN Joint,PPMI,
200,4,LR Joint,NACC,0.9960325379291594
200,4,LR Joint,PPMI,0.8604508583286172
200,4,DCM-DNN Independent,NACC,0.9960569109377833
200,4,LR Independent,NACC,0.9979730352256938
500,0,DCM-DNN Joint,NACC,0.9961139747402608
500,0,DCM-DNN Joint,PPMI,
500,0,LR Joint,NACC,0.9986120516892455
500,0,LR Joint,PPMI,0.804404761904762
500,0,DCM-DNN Independent,NACC,0.9949196458760291
500,0,LR Independent,NACC,0.9992375156119541
500,1,DCM-DNN Joint,NACC,
500,1,DCM-DNN Joint,PPMI,
500,1,LR Joint,NACC,0.9989652272165497
500,1,LR Joint,PPMI,0.8238246641249093
500,1,DCM-DNN Independent,NACC,0.9989648949594669
500,1,LR Independent,NACC,1.0
500,2,DCM-DNN Joint,NACC,
500,2,DCM-DNN Joint,PPMI,
500,2,LR Joint,NACC,0.9996816183361293
500,2,LR Joint,PPMI,0.8605654761904762
500,2,DCM-DNN Independent,NACC,0.9981654286011716
500,2,LR Independent,NACC,0.9999679387050522
500,3,DCM-DNN Joint,NACC,0.9981397355200601
500,3,DCM-DNN Joint,PPMI,0.8716798014592132
500,3,LR Joint,NACC,0.9995172704635862
