fold,config,eval_dataset,accuracy,f1_macro,auc_macro
0,Full (DCM-DNN Joint),NACC,0.9473684210526315,0.9463498489814279,0.9982248127962
0,Full (DCM-DNN Joint),PPMI,0.56,0.5509888153566315,0.7829761904761905
0,-ASC (PlainDNN Joint),NACC,0.9572368421052632,0.9567314006942489,0.998003509958299
0,-ASC (PlainDNN Joint),PPMI,0.54,0.5317793317793318,0.7427380952380952
0,-dataset_id (DCM-DNN Joint no ds_id),NACC,0.930921052631579,0.9295308979519507,0.9932873115434648
0,-dataset_id (DCM-DNN Joint no ds_id),PPMI,0.6,0.5938644688644689,0.7948015873015871
0,-Joint (DCM-DNN Independent),NACC,0.9605263157894737,0.9608756516237955,0.9958571845875963
0,-Joint (DCM-DNN Independent),PPMI,0.58,0.5737227080239785,0.750436507936508
0,LR Joint,NACC,0.9802631578947368,0.9803484430075661,0.9986120516892455
0,LR Joint,PPMI,0.66,0.6585297418630752,0.804404761904762
0,LR Independent,NACC,0.9835526315789473,0.9836668723099513,0.9992375156119541
1,Full (DCM-DNN Joint),NACC,0.9618055555555556,0.959806550873437,0.9964694153697202
1,Full (DCM-DNN Joint),PPMI,0.6515151515151515,0.6592662080466959,0.8052916212781409
1,-ASC (PlainDNN Joint),NACC,0.9618055555555556,0.9597604788581281,0.9963115392406922
1,-ASC (PlainDNN Joint),PPMI,0.6212121212121212,0.6282051282051282,0.8173118645606391
1,-dataset_id (DCM-DNN Joint no ds_id),NACC,0.9409722222222222,0.9377302401144537,0.9949470023631344
1,-dataset_id (DCM-DNN Joint no ds_id),PPMI,0.6363636363636364,0.640489865980062,0.8363482661583151
1,-Joint (DCM-DNN Independent),NACC,0.9618055555555556,0.9600311565828807,0.9977996965918061
1,-Joint (DCM-DNN Independent),PPMI,0.5909090909090909,0.5982392575642003,0.8075678558460421
1,LR Joint,NACC,0.96875,0.9673858404663652,0.9989652272165497
1,LR Joint,PPMI,0.6212121212121212,0.6297038362154641,0.8238246641249093
1,LR Independent,NACC,0.9895833333333334,0.9891567318623022,1.0
2,Full (DCM-DNN Joint),NACC,0.9770491803278688,0.9773857143971064,0.9980532609526654
2,Full (DCM-DNN Joint),PPMI,0.7291666666666666,0.6914761651603757,0.8324404761904761
2,-ASC (PlainDNN Joint),NACC,0.9672131147540983,0.9674919872939675,0.9969907525009338
2,-ASC (PlainDNN Joint),PPMI,0.7291666666666666,0.6920556920556921,0.8430059523809524
2,-dataset_id (DCM-DNN Joint no ds_id),NACC,0.9672131147540983,0.9676868473353339,0.9977916892834932
2,-dataset_id (DCM-DNN Joint no ds_id),PPMI,0.6875,0.6687246687246686,0.8519345238095237
2,-Joint (DCM-DNN Independent),NACC,0.9737704918032787,0.9742110275673657,0.9972256528165153
2,-Joint (DCM-DNN Independent),PPMI,0.6458333333333334,0.5952380952380952,0.7712797619047619
2,LR Joint,NACC,0.9868852459016394,0.987063539543398,0.9996816183361293
2,LR Joint,PPMI,0.7291666666666666,0.6916860916860917,0.8605654761904762
2,LR Independent,NACC,0.9967213114754099,0.9967685282753775,0.9999679387050522
3,Full (DCM-DNN Joint),NACC,0.9433333333333334,0.9424662938722971,0.9970740074725347
3,Full (DCM-DNN Joint),PPMI,0.6037735849056604,0.6039215686274509,0.8466971985354338
3,-ASC (PlainDNN Joint),NACC,0.9733333333333334,0.973193237691116,0.9982537967672268
3,-ASC (PlainDNN Joint),PPMI,0.7547169811320755,0.7582936174189329,0.8760217102128868
3,-dataset_id (DCM-DNN Joint no ds_id),NACC,0.94,0.9385116618759506,0.9961781866834002
3,-dataset_id (DCM-DNN Joint no ds_id),PPMI,0.6792452830188679,0.6859545683075096,0.8795244107744108
3,-Joint (DCM-DNN Independent),NACC,0.9633333333333334,0.9628502724314467,0.9983862195059624
3,-Joint (DCM-DNN Independent),PPMI,0.6792452830188679,0.6706959706959706,0.8449542791454556
3,LR Joint,NACC,0.99,0.9899497487437187,0.9995172704635862
3,LR Joint,PPMI,0.6981132075471698,0.7074190177638453,0.8892549300637537
3,LR Independent,NACC,0.9933333333333333,0.9932996632996632,0.9994675167444957
4,Full (DCM-DNN Joint),NACC,0.9570957095709571,0.9562763591749098,0.9977227829417016
4,Full (DCM-DNN Joint),PPMI,0.6,0.5781209781209782,0.8342864923747277
4,-ASC (PlainDNN Joint),NACC,0.9537953795379538,0.952776867414725,0.9974273878347545
4,-ASC (PlainDNN Joint),PPMI,0.64,0.5923765759396725,0.8468477668845314
4,-dataset_id (DCM-DNN Joint no ds_id),NACC,0.9537953795379538,0.9527179031278677,0.9990828985561823
4,-dataset_id (DCM-DNN Joint no ds_id),PPMI,0.66,0.648829492749638,0.8463371459694988
4,-Joint (DCM-DNN Independent),NACC,0.966996699669967,0.9664304993252362,0.9992627160083319
4,-Joint (DCM-DNN Independent),PPMI,0.64,0.5917184265010352,0.7938793572984749
4,LR Joint,NACC,0.9900990099009901,0.9900648643908555,0.999868963082381
4,LR Joint,PPMI,0.62,0.5912579245912579,0.8475626361655774
4,LR Independent,NACC,0.9933993399339934,0.9933649442480393,1.0
