dataset,model,threshold,coverage,balanced_accuracy,f1_macro
NACC,DCM-DNN,0.4,1.0,0.9546666666666667,0.9542716409533286
NACC,DCM-DNN,0.5,0.9986666666666667,0.9546426185704743,0.9542276268646441
NACC,DCM-DNN,0.6,0.9606666666666667,0.9693933181434087,0.9696124692030018
NACC,DCM-DNN,0.7,0.924,0.9787250681808931,0.9792574211769223
NACC,DCM-DNN,0.8,0.8786666666666667,0.9861649214230419,0.986643741442592
NACC,DCM-DNN,0.9,0.788,0.9942588566343019,0.9946423799887946
NACC,PlainDNN,0.4,1.0,0.952,0.9515538583644414
NACC,PlainDNN,0.5,0.998,0.9531860937403588,0.952779096479884
NACC,PlainDNN,0.6,0.9646666666666667,0.9696354729452938,0.9697978593971239
NACC,PlainDNN,0.7,0.9313333333333333,0.9797500201085354,0.9802313343145362
NACC,PlainDNN,0.8,0.882,0.9915611814345991,0.992123223366904
NACC,PlainDNN,0.9,0.7813333333333333,0.9979859013091641,0.9981977299850636
NACC,LR,0.4,1.0,0.9860000000000001,0.985945272026257
NACC,LR,0.5,1.0,0.9860000000000001,0.985945272026257
NACC,LR,0.6,0.982,0.99302649930265,0.9931417218238924
NACC,LR,0.7,0.9546666666666667,0.9963609898107716,0.9964632078955541
NACC,LR,0.8,0.884,0.999198717948718,0.9992392939713399
NACC,LR,0.9,0.8126666666666666,0.9990942028985508,0.9991646601366778
NACC,RF,0.4,1.0,0.9333333333333332,0.9329265100021313
NACC,RF,0.5,0.9886666666666667,0.9367571506649663,0.9366405062201121
NACC,RF,0.6,0.8626666666666667,0.9710482738031461,0.9718574483007988
NACC,RF,0.7,0.7186666666666667,0.9902676399026764,0.9917882352526771
NACC,RF,0.8,0.5726666666666667,1.0,1.0
NACC,RF,0.9,0.388,1.0,1.0
PPMI,DCM-DNN,0.4,0.9567901234567902,0.588144945259725,0.5728730245445991
PPMI,DCM-DNN,0.5,0.7037037037037037,0.6287792060532714,0.6054049783875594
PPMI,DCM-DNN,0.6,0.5246913580246914,0.6628241040005746,0.6476129734510264
PPMI,DCM-DNN,0.7,0.35802469135802467,0.6662007919869555,0.641741479585216
PPMI,DCM-DNN,0.8,0.21604938271604937,0.658080808080808,0.6074870569494225
PPMI,DCM-DNN,0.9,0.09567901234567901,0.6666666666666666,0.6428571428571429
PPMI,PlainDNN,0.4,0.9444444444444444,0.6042115227968211,0.5852940132722949
PPMI,PlainDNN,0.5,0.6759259259259259,0.6368696644501504,0.6083202990670793
PPMI,PlainDNN,0.6,0.49382716049382713,0.6576838604866103,0.624565406466113
PPMI,PlainDNN,0.7,0.29012345679012347,0.6573129251700681,0.6041114058355438
PPMI,PlainDNN,0.8,0.1419753086419753,0.5555555555555555,0.575609756097561
PPMI,PlainDNN,0.9,0.09567901234567901,0.3333333333333333,0.32222222222222224
PPMI,LR,0.4,0.9907407407407407,0.5972600473276427,0.5953181490255122
PPMI,LR,0.5,0.9074074074074074,0.5949749279846367,0.5946127946127946
PPMI,LR,0.6,0.6450617283950617,0.6428069117942535,0.6310304500841585
PPMI,LR,0.7,0.4382716049382716,0.6709388720027017,0.6545780885780886
PPMI,LR,0.8,0.27469135802469136,0.6496001909535744,0.6061224489795918
PPMI,LR,0.9,0.16049382716049382,0.6666666666666666,0.5432098765432098
PPMI,RF,0.4,0.9506172839506173,0.6364052614052614,0.6353588148595413
PPMI,RF,0.5,0.7129629629629629,0.6940563575159194,0.6840778267423883
PPMI,RF,0.6,0.4444444444444444,0.6929800768510446,0.6623728329885139
PPMI,RF,0.7,0.24691358024691357,0.6775804171085188,0.6379625534424296
PPMI,RF,0.8,0.12962962962962962,0.6666666666666666,0.634965034965035
PPMI,RF,0.9,0.04938271604938271,1.0,1.0
