dataset,item_name,difficulty_mean,difficulty_std,discrimination_mean,discrimination_std
NACC,TRAIL_MAKING,0.007566883,0.001752135,0.9643428,0.0060030282
NACC,CUBE,0.016128156,0.0014357743,0.974645,0.0063302345
NACC,CLOCK_CONTOUR,-0.014756978,0.0017773113,0.99382114,0.009245124
NACC,CLOCK_NUMBERS,-0.0021775197,0.0012873396,0.9625853,0.004622709
NACC,CLOCK_HANDS,0.012174782,0.0015840661,0.96214694,0.007589979
NACC,NAMING,-0.0044311937,0.0016297547,0.9518738,0.007101974
NACC,DIGIT_SPAN,-0.0032098987,0.0005526034,0.97213733,0.005375084
NACC,VIGILANCE,-0.0075360574,0.0011837551,0.955907,0.010511328
NACC,SERIAL_7,0.0035887496,0.0022664268,0.9494939,0.007128683
NACC,SENTENCE_REP,0.008120026,0.0007012211,0.9626719,0.007988064
NACC,FLUENCY,0.0078054653,0.0020062078,0.9720686,0.0034749587
NACC,ABSTRACTION,0.0027429569,0.0013387757,0.9544817,0.009437545
NACC,DELAYED_RECALL,0.019937944,0.0015081285,0.969806,0.020933492
NACC,ORIENT_DATE,0.00071272196,0.0016164632,0.9680108,0.0071384683
NACC,ORIENT_MONTH,-0.010238087,0.0010367659,0.9774817,0.008487845
NACC,ORIENT_YEAR,-0.0076940143,0.0014448711,0.95368165,0.011345959
NACC,ORIENT_DAY,-0.0067486363,0.0012954352,0.95371926,0.014298178
NACC,ORIENT_PLACE,-0.006172803,0.0011410053,0.9585651,0.0056750136
NACC,ORIENT_CITY,-0.014086328,0.0020962537,0.9568292,0.004388157
PPMI,TRAIL_MAKING,-0.0005241713,0.010654683,1.1054071,0.04778079
PPMI,CUBE,0.012920791,0.008324419,1.0892367,0.04698759
PPMI,CLOCK_CONTOUR,-0.0077656917,0.008758089,1.1156653,0.03952218
PPMI,CLOCK_NUMBERS,-0.004682711,0.0065539624,1.0950634,0.041813683
PPMI,CLOCK_HANDS,0.022083845,0.0060250433,1.1149981,0.036860827
PPMI,NAMING,-0.0063261287,0.005493623,1.1194077,0.031599514
PPMI,DIGIT_SPAN,-0.0069652973,0.0063178535,1.0943866,0.04393362
PPMI,VIGILANCE,-0.011402564,0.010173138,1.0890805,0.043560073
PPMI,SERIAL_7,-0.013492649,0.008857068,1.1200887,0.043392252
PPMI,SENTENCE_REP,0.004706815,0.0068154926,1.0862677,0.04388029
PPMI,FLUENCY,-0.004359539,0.00839449,1.0989017,0.041984186
PPMI,ABSTRACTION,-0.0022782825,0.009834576,1.103233,0.04115327
PPMI,DELAYED_RECALL,0.013910097,0.003962337,1.1036023,0.038413297
PPMI,ORIENT_DATE,0.00028587802,0.008130529,1.0974954,0.045856945
PPMI,ORIENT_MONTH,-0.008789579,0.007091015,1.0856563,0.043026417
PPMI,ORIENT_YEAR,-0.004945657,0.0074506733,1.0982559,0.040827073
PPMI,ORIENT_DAY,-0.0041913954,0.008209162,1.112942,0.033338103
PPMI,ORIENT_PLACE,-0.02210207,0.010534018,1.0863384,0.05048041
PPMI,ORIENT_CITY,-0.01553673,0.00795339,1.0944408,0.042027976
