dataset,model,ece_mean,ece_std
NACC,StaticIRT_DNN,0.02869391564528149,0.0074972586894103905
NACC,DCM-DNN,0.028971706887086245,0.008395715809640728
NACC,PlainDNN,0.028526221692562116,0.009180560015412105
NACC,LR,0.042260318355972395,0.004521785444469194
NACC,RF,0.12438666666666667,0.014389900007374008
PPMI,StaticIRT_DNN,0.1587872948497534,0.04091518812221888
PPMI,DCM-DNN,0.12484347111473863,0.048628213603771384
PPMI,PlainDNN,0.11949873322191149,0.04513006584668038
PPMI,LR,0.13725860933157713,0.035245733576379175
PPMI,RF,0.1026125,0.04205680028115611
