dataset,model,fold,accuracy,auc,f1
NACC,DCM-DNN,0,0.9625,0.99125,0.9624941397093296
NACC,PlainDNN,0,0.9625,0.98875,0.9624941397093296
NACC,LR,0,0.975,0.999375,0.975
NACC,RF,0,0.95,0.998125,0.9473684210526315
NACC,XGBoost,0,0.95,0.9962500000000001,0.9473684210526315
NACC,DCM-DNN,1,0.9625,0.995625,0.9624941397093296
NACC,PlainDNN,1,0.975,0.99625,0.975
NACC,LR,1,0.9875,0.999375,0.9873417721518988
NACC,RF,1,0.9625,0.9918750000000001,0.9620253164556962
NACC,XGBoost,1,0.95,0.995625,0.95
NACC,DCM-DNN,2,0.95,0.9981249999999999,0.9499687304565353
NACC,PlainDNN,2,0.9625,0.996875,0.9624941397093296
NACC,LR,2,0.9875,1.0,0.9876543209876543
NACC,RF,2,0.95,0.995,0.9487179487179487
NACC,XGBoost,2,0.925,0.985,0.9285714285714286
NACC,DCM-DNN,3,0.925,1.0,0.9245757385292269
NACC,PlainDNN,3,0.925,0.99875,0.9245757385292269
NACC,LR,3,0.975,1.0,0.9743589743589743
NACC,RF,3,0.925,0.9962500000000001,0.918918918918919
NACC,XGBoost,3,0.925,0.99125,0.9210526315789473
NACC,DCM-DNN,4,0.9875,0.9987499999999999,0.9874980465697765
NACC,PlainDNN,4,0.9625,0.9956250000000001,0.9624941397093296
NACC,LR,4,1.0,1.0,1.0
NACC,RF,4,0.9625,0.99625,0.961038961038961
NACC,XGBoost,4,0.9875,0.99875,0.9873417721518988
