dataset,model,fold,accuracy,auc,f1
PPMI,DCM-DNN,0,0.6868327402135231,0.7588905775075988,0.681897705053
PPMI,PlainDNN,0,0.6868327402135231,0.7440982776089159,0.6824532566262584
PPMI,LR,0,0.7046263345195729,0.7542299898682877,0.6867924528301886
PPMI,RF,0,0.6654804270462633,0.7095491388044579,0.656934306569343
PPMI,XGBoost,0,0.6690391459074733,0.7115754812563323,0.6618181818181819
PPMI,DCM-DNN,1,0.6690391459074733,0.7364741641337388,0.6573035918014084
PPMI,PlainDNN,1,0.6903914590747331,0.7512158054711245,0.6794130374916401
PPMI,LR,1,0.6619217081850534,0.7413120567375886,0.6122448979591837
PPMI,RF,1,0.6512455516014235,0.7012158054711246,0.6287878787878788
PPMI,XGBoost,1,0.6654804270462633,0.728014184397163,0.6384615384615384
PPMI,DCM-DNN,2,0.6607142857142857,0.7444387755102042,0.6584094207086078
PPMI,PlainDNN,2,0.6607142857142857,0.7335714285714287,0.6605020995264899
PPMI,LR,2,0.6535714285714286,0.7456122448979592,0.6394052044609665
PPMI,RF,2,0.6357142857142857,0.7104591836734694,0.6304347826086957
PPMI,XGBoost,2,0.6142857142857143,0.6858673469387755,0.5909090909090909
PPMI,DCM-DNN,3,0.6642857142857143,0.7617091836734694,0.651316835355837
PPMI,PlainDNN,3,0.6964285714285714,0.7748214285714287,0.688379705400982
PPMI,LR,3,0.7142857142857143,0.7965561224489796,0.6875
PPMI,RF,3,0.6892857142857143,0.7553571428571428,0.6716981132075471
PPMI,XGBoost,3,0.6714285714285714,0.7238010204081632,0.6515151515151515
PPMI,DCM-DNN,4,0.6964285714285714,0.7840816326530612,0.68424543946932
PPMI,PlainDNN,4,0.6964285714285714,0.7814795918367347,0.6876271475633604
PPMI,LR,4,0.7535714285714286,0.8039795918367347,0.7453874538745388
PPMI,RF,4,0.6857142857142857,0.7546428571428573,0.6716417910447762
PPMI,XGBoost,4,0.6821428571428572,0.7284183673469388,0.6641509433962264
PPMI,DCM-DNN,5,0.6619217081850534,0.7448328267477203,0.658531281578981
PPMI,PlainDNN,5,0.6725978647686833,0.7452887537993922,0.6654761904761906
PPMI,LR,5,0.6832740213523132,0.7560283687943262,0.6691449814126395
PPMI,RF,5,0.6619217081850534,0.7131205673758865,0.6594982078853047
PPMI,XGBoost,5,0.6619217081850534,0.7106889564336373,0.6468401486988847
PPMI,DCM-DNN,6,0.6725978647686833,0.7489108409321176,0.670389636882905
PPMI,PlainDNN,6,0.6832740213523132,0.7658814589665653,0.6805390560132848
PPMI,LR,6,0.693950177935943,0.7718591691995947,0.6814814814814815
PPMI,RF,6,0.6832740213523132,0.727127659574468,0.6810035842293907
PPMI,XGBoost,6,0.6619217081850534,0.7140070921985816,0.6545454545454545
PPMI,DCM-DNN,7,0.6964285714285714,0.7590816326530612,0.691609977324263
PPMI,PlainDNN,7,0.6964285714285714,0.7587755102040816,0.6904226121567658
PPMI,LR,7,0.7321428571428571,0.7859183673469388,0.7058823529411765
PPMI,RF,7,0.7,0.7588010204081632,0.6888888888888889
PPMI,XGBoost,7,0.6892857142857143,0.7341836734693878,0.6640926640926641
PPMI,DCM-DNN,8,0.6821428571428572,0.7455612244897959,0.6781983238419917
PPMI,PlainDNN,8,0.6928571428571428,0.7577040816326531,0.6809919983042764
PPMI,LR,8,0.7107142857142857,0.7655102040816326,0.6896551724137931
PPMI,RF,8,0.6214285714285714,0.6937755102040816,0.5826771653543307
PPMI,XGBoost,8,0.6214285714285714,0.6494387755102041,0.576
PPMI,DCM-DNN,9,0.6607142857142857,0.7550510204081633,0.6490718874919195
PPMI,PlainDNN,9,0.6821428571428572,0.7477040816326531,0.6703311240756175
PPMI,LR,9,0.6821428571428572,0.7515816326530612,0.6590038314176245
PPMI,RF,9,0.6321428571428571,0.6739540816326531,0.6083650190114068
PPMI,XGBoost,9,0.65,0.6918367346938776,0.6201550387596899
PPMI,DCM-DNN,10,0.6654804270462633,0.7318135764944275,0.6602089122157044
PPMI,PlainDNN,10,0.6832740213523132,0.7429584599797365,0.6805390560132848
PPMI,LR,10,0.6690391459074733,0.7386524822695035,0.6436781609195402
PPMI,RF,10,0.6263345195729537,0.6791033434650455,0.6289752650176679
PPMI,XGBoost,10,0.6548042704626335,0.6606636271529889,0.6367041198501873
PPMI,DCM-DNN,11,0.7402135231316725,0.8000253292806483,0.7395670665904908
PPMI,PlainDNN,11,0.7259786476868327,0.8111195542046605,0.7252967688694216
PPMI,LR,11,0.7402135231316725,0.8168946301925025,0.7383512544802867
PPMI,RF,11,0.7046263345195729,0.7828267477203648,0.71280276816609
PPMI,XGBoost,11,0.701067615658363,0.7729736575481256,0.704225352112676
PPMI,DCM-DNN,12,0.6321428571428571,0.7370663265306123,0.623257697482724
PPMI,PlainDNN,12,0.6464285714285715,0.7490051020408162,0.6414481768441749
PPMI,LR,12,0.6714285714285714,0.755637755102041,0.6349206349206349
PPMI,RF,12,0.6428571428571429,0.7210714285714287,0.6031746031746031
PPMI,XGBoost,12,0.6428571428571429,0.6902295918367347,0.5901639344262295
PPMI,DCM-DNN,13,0.6642857142857143,0.7470663265306122,0.654121110176619
PPMI,PlainDNN,13,0.6714285714285714,0.7300765306122449,0.6670802315963607
PPMI,LR,13,0.6892857142857143,0.7538010204081632,0.6666666666666666
PPMI,RF,13,0.65,0.7083673469387756,0.631578947368421
PPMI,XGBoost,13,0.65,0.6993622448979593,0.6287878787878788
PPMI,DCM-DNN,14,0.7107142857142857,0.7899744897959183,0.7015750207239568
PPMI,PlainDNN,14,0.725,0.7975255102040817,0.7215873138857682
PPMI,LR,14,0.725,0.7938520408163265,0.6956521739130435
PPMI,RF,14,0.6928571428571428,0.7716581632653062,0.6814814814814815
PPMI,XGBoost,14,0.6785714285714286,0.7184948979591838,0.64
