scheme,fold,model,nacc_acc,nacc_auc,nacc_f1,nacc_n,ppmi_acc,ppmi_auc,ppmi_f1,ppmi_n
A,0,DCM-DNN,0.8625,0.9925,0.45387549852609677,80,0.5125,0.8099999999999999,0.20408163265306123,80
A,0,PlainDNN,0.85,0.9931249999999999,0.4533001245330012,80,0.5375,0.814375,0.24489795918367346,80
A,0,LR,0.725,0.9918750000000001,0.42028985507246375,80,0.575,0.8106249999999999,0.34615384615384615,80
A,0,RF,0.5875,0.9937500000000001,0.35768591114278925,80,0.5625,0.7515625,0.36363636363636365,80
A,0,XGBoost,0.5625,0.99,0.3490335209199902,80,0.525,0.6900000000000002,0.2962962962962963,80
A,1,DCM-DNN,0.7625,0.995625,0.4295634920634921,80,0.5875,0.6925,0.35294117647058826,80
A,1,PlainDNN,0.775,0.99875,0.433489827856025,80,0.6,0.706875,0.38461538461538464,80
A,1,LR,0.6375,0.995625,0.3820199275362319,80,0.5375,0.7175,0.3728813559322034,80
A,1,RF,0.575,0.975,0.3598258706467662,80,0.65,0.6399999999999999,0.5172413793103449,80
A,1,XGBoost,0.5625,0.995625,0.358974358974359,80,0.6125,0.603125,0.43636363636363634,80
A,2,DCM-DNN,0.6875,0.99,0.3998931623931624,80,0.6,0.7390625,0.4482758620689655,80
A,2,PlainDNN,0.55,0.99125,0.3450811359026369,80,0.5875,0.7421875,0.4,80
A,2,LR,0.4375,0.98625,0.303030303030303,80,0.6,0.7496875,0.4838709677419355,80
A,2,RF,0.55,0.9924999999999999,0.3492022645393721,80,0.625,0.6696875,0.5454545454545454,80
A,2,XGBoost,0.6,0.9925000000000002,0.3719951923076923,80,0.5875,0.6609375,0.4406779661016949,80
A,3,DCM-DNN,0.6,0.996875,0.36717267552182165,80,0.6625,0.83625,0.5573770491803278,80
A,3,PlainDNN,0.55,0.99625,0.3455603339236023,80,0.675,0.8287499999999999,0.5517241379310345,80
A,3,LR,0.625,1.0,0.3822760750772155,80,0.65,0.81125,0.5882352941176471,80
A,3,RF,0.525,0.995625,0.34004237288135597,80,0.575,0.7603125000000001,0.45161290322580644,80
A,3,XGBoost,0.5,0.9862500000000001,0.32785087719298245,80,0.625,0.754375,0.5454545454545454,80
A,4,DCM-DNN,0.7,0.995,0.4012698412698412,80,0.5875,0.8225,0.4,80
A,4,PlainDNN,0.8125,0.995625,0.4409090909090909,80,0.6,0.8418749999999999,0.4074074074074074,80
A,4,LR,0.625,0.9975,0.3822760750772155,80,0.675,0.8506249999999999,0.5806451612903226,80
A,4,RF,0.7125,0.9856250000000001,0.4114857744994731,80,0.55,0.68125,0.41935483870967744,80
