dataset,feature_set,model,fold,accuracy,balanced_accuracy,f1_macro,auc_macro,input_dim
NACC,baseline,DCM-DNN,0,0.95,0.9498833657985234,0.9494657533661369,0.9954769176506425,20
NACC,baseline,DCM-DNN,1,0.956,0.9560637760623331,0.9555990340566378,0.9966122785363822,20
NACC,baseline,DCM-DNN,2,0.97,0.9700238078060744,0.9699680862818537,0.9974157477584358,20
NACC,baseline,PlainDNN,0,0.97,0.9699396387946998,0.9698491344014443,0.9959878896283195,20
NACC,baseline,PlainDNN,1,0.954,0.9540677680783012,0.9533708988137759,0.9961739749994565,20
NACC,baseline,PlainDNN,2,0.966,0.9660197676935286,0.9658185978747231,0.9968519489838297,20
NACC,baseline,LR,0,0.992,0.9919678714859438,0.9919725754235266,0.9994835395239408,20
NACC,baseline,LR,1,0.994,0.9940119760479043,0.9939878191040924,0.9994964844362434,20
NACC,baseline,LR,2,0.99,0.9900199600798403,0.9900177230246897,0.9995924067780355,20
NACC,domain_scores,DCM-DNN,0,0.954,0.9538874059110695,0.9535111586398877,0.995236831954962,25
NACC,domain_scores,DCM-DNN,1,0.954,0.9540797922227834,0.9534717804797949,0.9958806111500723,25
NACC,domain_scores,DCM-DNN,2,0.97,0.9700117836615925,0.9699553680497207,0.9974336395409912,25
NACC,domain_scores,PlainDNN,0,0.96,0.9599115022966117,0.9597056653010482,0.9952729946597634,25
NACC,domain_scores,PlainDNN,1,0.962,0.962063824158911,0.9615667538582063,0.997235475862559,25
NACC,domain_scores,PlainDNN,2,0.966,0.9660317918380108,0.9657824166690306,0.9969477088371829,25
NACC,domain_scores,LR,0,0.992,0.9919678714859438,0.9919725754235266,0.9997057514913369,25
NACC,domain_scores,LR,1,0.994,0.9940119760479043,0.9939878191040924,0.9996223588136148,25
NACC,domain_scores,LR,2,0.994,0.9940119760479043,0.9940114929133012,0.9997542452632272,25
NACC,demographics,DCM-DNN,0,0.958,0.9578794218791332,0.9574861873333695,0.9946002203054364,22
NACC,demographics,DCM-DNN,1,0.968,0.9680398239665248,0.9678823886225429,0.9971155413403446,22
NACC,demographics,DCM-DNN,2,0.964,0.9640237597094967,0.9639052834832023,0.9969241299592646,22
NACC,demographics,PlainDNN,0,0.96,0.9598994781521295,0.959618095775345,0.9937354748876285,22
NACC,demographics,PlainDNN,1,0.956,0.9560637760623331,0.9555934211570994,0.9963839461711187,22
NACC,demographics,PlainDNN,2,0.956,0.9559796070509584,0.9561413797341668,0.9957308870807177,22
NACC,demographics,LR,0,0.992,0.9919678714859438,0.9919725754235266,0.9992492673035202,22
NACC,demographics,LR,1,0.992,0.9920159680638722,0.991991919774908,0.9995144664901536,22
NACC,demographics,LR,2,0.992,0.9920159680638724,0.9920148227840535,0.9995264725803649,22
NACC,combined,DCM-DNN,0,0.966,0.9659235745376716,0.9657414428980973,0.9964500609114996,28
NACC,combined,DCM-DNN,1,0.95,0.9500637279657553,0.9495943996839716,0.9944828855982454,28
NACC,combined,DCM-DNN,2,0.962,0.9620277517254648,0.9618024107126603,0.996402108767739,28
NACC,combined,PlainDNN,0,0.956,0.9558834138951013,0.9554886489479513,0.9954352483931879,28
NACC,combined,PlainDNN,1,0.962,0.9620397758699468,0.9619979260697824,0.9965641277956406,28
NACC,combined,PlainDNN,2,0.968,0.9680157756775606,0.9679671065213235,0.9963722650577855,28
NACC,combined,LR,0,0.992,0.9919678714859438,0.9919725754235266,0.9995735942276595,28
NACC,combined,LR,1,0.994,0.9940119760479043,0.9939878191040924,0.9996703109573754,28
NACC,combined,LR,2,0.992,0.9920159680638724,0.9920148227840535,0.9997662332991674,28
PPMI,baseline,DCM-DNN,0,0.6244725738396625,0.6244725738396625,0.6308423672268066,0.8262297708700528,20
PPMI,baseline,DCM-DNN,1,0.6708860759493671,0.6708860759493671,0.6620866313174005,0.8618009934305401,20
PPMI,baseline,DCM-DNN,2,0.6919831223628692,0.6919831223628692,0.6799024730059213,0.862522031725685,20
PPMI,baseline,PlainDNN,0,0.6286919831223629,0.6286919831223629,0.6322682650275389,0.8269508091651979,20
PPMI,baseline,PlainDNN,1,0.6624472573839663,0.6624472573839663,0.6564029120420097,0.8545372002350051,20
PPMI,baseline,PlainDNN,2,0.6919831223628692,0.6919831223628692,0.6800756130673128,0.8557389307269134,20
PPMI,baseline,LR,0,0.6118143459915611,0.6118143459915611,0.613014379341235,0.8091384927629118,20
PPMI,baseline,LR,1,0.6455696202531646,0.6455696202531646,0.6370769691524408,0.837045345297228,20
PPMI,baseline,LR,2,0.6962025316455697,0.6962025316455697,0.6855784664773429,0.8558190460930407,20
PPMI,domain_scores,DCM-DNN,0,0.6160337552742616,0.6160337552742616,0.6156819311102076,0.8235859637878544,25
PPMI,domain_scores,DCM-DNN,1,0.6708860759493671,0.6708860759493671,0.6644683876138767,0.8600117502536987,25
PPMI,domain_scores,DCM-DNN,2,0.6835443037974683,0.6835443037974683,0.6698519068789516,0.8552315334081078,25
PPMI,domain_scores,PlainDNN,0,0.6286919831223629,0.6286919831223629,0.6331889025526518,0.8252950915985687,25
PPMI,domain_scores,PlainDNN,1,0.6751054852320675,0.6751054852320676,0.6658460616951183,0.8577151097580517,25
PPMI,domain_scores,PlainDNN,2,0.6919831223628692,0.6919831223628692,0.6793247570971067,0.8557122256048709,25
PPMI,domain_scores,LR,0,0.6118143459915611,0.6118143459915611,0.613014379341235,0.8088447364204455,25
PPMI,domain_scores,LR,1,0.6455696202531646,0.6455696202531646,0.6370769691524408,0.8365379479784222,25
PPMI,domain_scores,LR,2,0.6962025316455697,0.6962025316455697,0.6855784664773429,0.8556321102387439,25
