experiment,direction,model,repeat,balanced_accuracy,f1_macro,auc_macro
V1,PPMI->NACC,Ensemble-DCM-DNN,0,0.7153333333333333,0.6947284502526573,0.8934086666666667
V1,PPMI->NACC,Ensemble-PlainDNN,0,0.7113333333333335,0.6899238965813718,0.8954466666666666
V1,PPMI->NACC,DCM-DNN-single,0,0.662,0.6309983097496642,0.8647146666666666
V1,PPMI->NACC,LR,0,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,0,0.7266666666666666,0.7140981995437287,0.8675116666666667
V1,PPMI->NACC,XGBoost,0,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,0,0.5648148148148148,0.5653517679988626,0.7676040237768632
V1,NACC->PPMI,Ensemble-PlainDNN,0,0.5771604938271605,0.5774708324226827,0.7672325102880658
V1,NACC->PPMI,DCM-DNN-single,0,0.5833333333333334,0.5840280793168331,0.7654606767261086
V1,NACC->PPMI,LR,0,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,0,0.5648148148148148,0.5695471737312742,0.7617526863283036
V1,NACC->PPMI,XGBoost,0,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,1,0.7133333333333334,0.6982943437088571,0.884563
V1,PPMI->NACC,Ensemble-PlainDNN,1,0.7126666666666667,0.6983402775858568,0.8807676666666667
V1,PPMI->NACC,DCM-DNN-single,1,0.6986666666666667,0.6926946817645616,0.874136
V1,PPMI->NACC,LR,1,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,1,0.7080000000000001,0.7019812190668545,0.8600003333333334
V1,PPMI->NACC,XGBoost,1,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,1,0.5648148148148149,0.5658086893026653,0.7679755372656607
V1,NACC->PPMI,Ensemble-PlainDNN,1,0.5617283950617283,0.5621947398084203,0.7671181984453589
V1,NACC->PPMI,DCM-DNN-single,1,0.5833333333333334,0.5881490564752367,0.7676468907178785
V1,NACC->PPMI,LR,1,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,1,0.5771604938271605,0.5817339988791153,0.7696402034750801
V1,NACC->PPMI,XGBoost,1,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,2,0.7319999999999999,0.7170813107834393,0.8949156666666666
V1,PPMI->NACC,Ensemble-PlainDNN,2,0.7266666666666666,0.7111603697251074,0.8989079999999999
V1,PPMI->NACC,DCM-DNN-single,2,0.754,0.7330904485211939,0.9056233333333333
V1,PPMI->NACC,LR,2,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,2,0.7040000000000001,0.6978300018849443,0.864648
V1,PPMI->NACC,XGBoost,2,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,2,0.5740740740740741,0.5750648823418537,0.7686756973022404
V1,NACC->PPMI,Ensemble-PlainDNN,2,0.5648148148148148,0.5661070101799585,0.7697473708276178
V1,NACC->PPMI,DCM-DNN-single,2,0.5679012345679012,0.5654022229522195,0.7660465249199816
V1,NACC->PPMI,LR,2,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,2,0.5679012345679012,0.5712241221901448,0.7659607910379514
V1,NACC->PPMI,XGBoost,2,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,3,0.7166666666666667,0.6987801235538713,0.88824
V1,PPMI->NACC,Ensemble-PlainDNN,3,0.7293333333333333,0.7130992196209588,0.8931166666666667
V1,PPMI->NACC,DCM-DNN-single,3,0.6839999999999998,0.6657106923901513,0.861322
V1,PPMI->NACC,LR,3,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,3,0.7126666666666667,0.7064547537045781,0.8587716666666667
V1,PPMI->NACC,XGBoost,3,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,3,0.5679012345679012,0.5706349206349207,0.7672753772290809
V1,NACC->PPMI,Ensemble-PlainDNN,3,0.5802469135802469,0.583301505670276,0.7696616369455875
V1,NACC->PPMI,DCM-DNN-single,3,0.5740740740740741,0.5756954589524573,0.7674325560128028
V1,NACC->PPMI,LR,3,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,3,0.5740740740740741,0.5777012060054147,0.7701474622770919
V1,NACC->PPMI,XGBoost,3,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,4,0.7239999999999999,0.7052974260379735,0.8989733333333333
V1,PPMI->NACC,Ensemble-PlainDNN,4,0.7226666666666667,0.7069858324576624,0.8943233333333332
V1,PPMI->NACC,DCM-DNN-single,4,0.6633333333333334,0.6489324257808825,0.8700826666666668
V1,PPMI->NACC,LR,4,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,4,0.7160000000000001,0.7077700599392278,0.861851
V1,PPMI->NACC,XGBoost,4,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,4,0.5709876543209876,0.5723345540503526,0.7650605852766347
V1,NACC->PPMI,Ensemble-PlainDNN,4,0.5709876543209876,0.5723345540503526,0.7652463420210335
V1,NACC->PPMI,DCM-DNN-single,4,0.5740740740740741,0.5757636354546818,0.7574874256973022
V1,NACC->PPMI,LR,4,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,4,0.5802469135802468,0.5843395326657129,0.7730338363054413
V1,NACC->PPMI,XGBoost,4,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,5,0.7306666666666667,0.7170712834896992,0.8974693333333333
V1,PPMI->NACC,Ensemble-PlainDNN,5,0.7359999999999999,0.7204381299002719,0.8968403333333334
V1,PPMI->NACC,DCM-DNN-single,5,0.7240000000000001,0.6983331470007658,0.8920386666666666
V1,PPMI->NACC,LR,5,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,5,0.7066666666666667,0.7015277609331355,0.8578916666666667
V1,PPMI->NACC,XGBoost,5,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,5,0.5586419753086419,0.5584401319341078,0.7685756744398721
V1,NACC->PPMI,Ensemble-PlainDNN,5,0.5586419753086419,0.5581063000351163,0.768775720164609
V1,NACC->PPMI,DCM-DNN-single,5,0.5432098765432098,0.5431306240484521,0.7611739826245999
V1,NACC->PPMI,LR,5,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,5,0.5833333333333334,0.587556600487635,0.7737197073616827
V1,NACC->PPMI,XGBoost,5,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,6,0.7173333333333334,0.7018244689030319,0.8881249999999999
V1,PPMI->NACC,Ensemble-PlainDNN,6,0.7153333333333333,0.6994815785960237,0.8886743333333333
V1,PPMI->NACC,DCM-DNN-single,6,0.7213333333333333,0.7032992347820993,0.894387
V1,PPMI->NACC,LR,6,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,6,0.7346666666666667,0.7280852034554907,0.8719659999999999
V1,PPMI->NACC,XGBoost,6,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,6,0.5617283950617283,0.5626527126682282,0.7675182898948331
V1,NACC->PPMI,Ensemble-PlainDNN,6,0.5555555555555556,0.5561214127558878,0.7664894833104711
V1,NACC->PPMI,DCM-DNN-single,6,0.558641975308642,0.5591694960413198,0.7654320987654321
V1,NACC->PPMI,LR,6,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,6,0.5864197530864198,0.591389466724834,0.7689186099679927
V1,NACC->PPMI,XGBoost,6,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,7,0.7226666666666667,0.6995546873483254,0.8969266666666668
V1,PPMI->NACC,Ensemble-PlainDNN,7,0.7293333333333333,0.7056487050408312,0.9015719999999999
V1,PPMI->NACC,DCM-DNN-single,7,0.71,0.6771605117765916,0.8941693333333333
V1,PPMI->NACC,LR,7,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,7,0.7146666666666667,0.7087274679248708,0.8610066666666666
V1,PPMI->NACC,XGBoost,7,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,7,0.5709876543209876,0.5726496098209611,0.7694187242798355
V1,NACC->PPMI,Ensemble-PlainDNN,7,0.5679012345679012,0.5692213681838526,0.7692043895747599
V1,NACC->PPMI,DCM-DNN-single,7,0.5895061728395061,0.5936699932801298,0.7759059213534522
V1,NACC->PPMI,LR,7,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,7,0.5802469135802468,0.5843953764078246,0.7752629172382258
V1,NACC->PPMI,XGBoost,7,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,8,0.7146666666666667,0.6985996476264734,0.8946326666666667
V1,PPMI->NACC,Ensemble-PlainDNN,8,0.7133333333333333,0.6974285124478392,0.8919073333333333
V1,PPMI->NACC,DCM-DNN-single,8,0.684,0.6749172913887148,0.871166
V1,PPMI->NACC,LR,8,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,8,0.7046666666666668,0.6999848965852266,0.8642280000000001
V1,PPMI->NACC,XGBoost,8,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,8,0.5802469135802469,0.5826015937280665,0.7680898491083678
V1,NACC->PPMI,Ensemble-PlainDNN,8,0.5709876543209876,0.5719671250414367,0.7672182213077274
V1,NACC->PPMI,DCM-DNN-single,8,0.5709876543209876,0.5704696839365667,0.7725337219935985
V1,NACC->PPMI,LR,8,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,8,0.5740740740740741,0.5789082250372375,0.7736696959304984
V1,NACC->PPMI,XGBoost,8,0.5771604938271605,0.5792765779247445,0.7667395404663924
V1,PPMI->NACC,Ensemble-DCM-DNN,9,0.7093333333333334,0.6890443834729519,0.8880086666666668
V1,PPMI->NACC,Ensemble-PlainDNN,9,0.7073333333333333,0.6889007814807483,0.8852813333333333
V1,PPMI->NACC,DCM-DNN-single,9,0.6926666666666668,0.6761584784509299,0.8743563333333334
V1,PPMI->NACC,LR,9,0.6826666666666666,0.6648674294902653,0.8665093333333332
V1,PPMI->NACC,RF,9,0.7146666666666667,0.7076952738963912,0.8640876666666667
V1,PPMI->NACC,XGBoost,9,0.662,0.6564737984831132,0.8456793333333333
V1,NACC->PPMI,Ensemble-DCM-DNN,9,0.5740740740740741,0.577124854546805,0.769247256515775
V1,NACC->PPMI,Ensemble-PlainDNN,9,0.5740740740740741,0.5770573725124873,0.7675182898948331
V1,NACC->PPMI,DCM-DNN-single,9,0.5864197530864198,0.5909077961972121,0.767789780521262
V1,NACC->PPMI,LR,9,0.5740740740740741,0.573710834681194,0.7838791723822588
V1,NACC->PPMI,RF,9,0.5740740740740741,0.5802415248072167,0.7677754915409235
V1,NACC->PPMI,XGBoost,9,0.5771604938271605,0.5792765779247445,0.7667395404663924
