experiment,model,metric,mean,std,ci_lower,ci_upper,n
V1,DCM-DNN-single,balanced_accuracy,0.636274074074074,0.06666670823043973,0.6070561009519501,0.6654920471961979,20
V1,DCM-DNN-single,f1_macro,0.6273840634130332,0.05716384446020267,0.6023309039676585,0.6524372228584079,20
V1,DCM-DNN-single,auc_macro,0.8234452789666209,0.05774747660644892,0.7981363314552856,0.8487542264779562,20
V1,Ensemble-DCM-DNN,balanced_accuracy,0.6442135802469136,0.07568031226603958,0.6110452209809996,0.6773819395128275,20
V1,Ensemble-DCM-DNN,f1_macro,0.6361469921102051,0.0663351870228754,0.607074314563476,0.6652196696569341,20
V1,Ensemble-DCM-DNN,auc_macro,0.8302352007544581,0.06238403691621974,0.8028941910923755,0.8575762104165408,20
V1,Ensemble-PlainDNN,balanced_accuracy,0.6443049382716048,0.07655881213943824,0.6107515594604025,0.6778583170828072,20
V1,Ensemble-PlainDNN,f1_macro,0.6362644762048569,0.06748253039512887,0.6066889532544449,0.6658399991552689,20
V1,Ensemble-PlainDNN,auc_macro,0.8302524914723366,0.06258270506260037,0.8028244116561208,0.8576805712885524,20
V1,LR,balanced_accuracy,0.6283703703703704,0.05429629629629629,0.6045739693191526,0.6521667714215881,20
V1,LR,f1_macro,0.6192891320857296,0.04557829740453567,0.5993135625118617,0.6392647016595974,20
V1,LR,auc_macro,0.825194252857796,0.041315080475537225,0.8070871204837176,0.8433013852318745,20
V1,RF,balanced_accuracy,0.6452506172839507,0.0694750838416599,0.6148018192823108,0.6756994152855906,20
V1,RF,f1_macro,0.6440596031935428,0.0637891948919503,0.6161027558958997,0.672016450491186,20
V1,RF,auc_macro,0.8165922034064929,0.046774785979740253,0.796092249594087,0.8370921572188987,20
V1,XGBoost,balanced_accuracy,0.6195802469135803,0.042419753086419765,0.600988970421542,0.6381715234056186,20
V1,XGBoost,f1_macro,0.6178751882039288,0.03859861027918432,0.6009586013853583,0.6347917750224994,20
V1,XGBoost,auc_macro,0.8062094368998629,0.039469896433470486,0.7889109920878,0.8235078817119258,20
