experiment,model,metric,mean,std,ci_lower,ci_upper,n
V2,DCM-DNN-single,balanced_accuracy,0.5923520923520924,0.049617012368676223,0.5488608634533437,0.6358433212508411,5
V2,DCM-DNN-single,f1_macro,0.5789540840920149,0.05430355391127532,0.5313549204095639,0.6265532477744659,5
V2,DCM-DNN-single,auc_macro,0.7678814725326355,0.023411089637626524,0.7473607476926626,0.7884021973726084,5
V2,Ensemble-DCM-DNN,balanced_accuracy,0.6012987012987013,0.053672283004964946,0.5542528709624717,0.648344531634931,5
V2,Ensemble-DCM-DNN,f1_macro,0.5844730073177453,0.05082735606048887,0.5399208653967524,0.6290251492387382,5
V2,Ensemble-DCM-DNN,auc_macro,0.7822594717943555,0.026475797916273698,0.759052411705816,0.805466531882895,5
V2,Ensemble-PlainDNN,balanced_accuracy,0.5950937950937951,0.0395377128918697,0.5604374617229677,0.6297501284646225,5
V2,Ensemble-PlainDNN,f1_macro,0.5767588722301085,0.03234833034944894,0.5484043105070734,0.6051134339531435,5
V2,Ensemble-PlainDNN,auc_macro,0.7800412765529046,0.02479232109906268,0.7583098489562821,0.8017727041495271,5
V2,LR,balanced_accuracy,0.5929292929292929,0.026644387662434252,0.5695744574127255,0.6162841284458602,5
V2,LR,f1_macro,0.5866015164970764,0.02049401865163984,0.568637717112888,0.6045653158812647,5
V2,LR,auc_macro,0.7746635793147421,0.01561780881396262,0.7609739663050367,0.7883531923244474,5
V2,RF,balanced_accuracy,0.6331890331890332,0.038446173169185305,0.5994894765700707,0.6668885898079957,5
V2,RF,f1_macro,0.6295120619047079,0.03831675626332043,0.5959259442053344,0.6630981796040814,5
V2,RF,auc_macro,0.8034934058189872,0.01431823729488598,0.7909429174705268,0.8160438941674476,5
V2,XGBoost,balanced_accuracy,0.6178932178932179,0.07754786956634033,0.5499195132118533,0.6858669225745826,5
V2,XGBoost,f1_macro,0.617853427793007,0.07803281625900403,0.5494546485937005,0.6862522069923135,5
V2,XGBoost,auc_macro,0.789956038793248,0.04344299819797155,0.7518765719233584,0.8280355056631377,5
