experiment,n_per_class,repeat,model,balanced_accuracy,f1_macro,auc_macro
V3,500,0,Ensemble-DCM-DNN,0.5864197530864197,0.5906522855675398,0.7730481252857796
V3,500,0,Ensemble-PlainDNN,0.5956790123456791,0.5993185786405886,0.7718335619570188
V3,500,0,LR,0.5740740740740741,0.573710834681194,0.7838077274805669
V3,500,1,Ensemble-DCM-DNN,0.5802469135802469,0.584160588285981,0.7702474851394605
V3,500,1,Ensemble-PlainDNN,0.5833333333333334,0.5874250499666889,0.7678612254229537
V3,500,1,LR,0.5740740740740741,0.573710834681194,0.7838648834019204
V3,500,2,Ensemble-DCM-DNN,0.5895061728395062,0.591798617168596,0.771376314586191
V3,500,2,Ensemble-PlainDNN,0.5864197530864197,0.5875657328862725,0.7692186785550983
V3,500,2,LR,0.5740740740740741,0.573710834681194,0.7838791723822588
V3,250,0,Ensemble-DCM-DNN,0.5648148148148149,0.5636895905159378,0.757716049382716
V3,250,0,Ensemble-PlainDNN,0.5679012345679012,0.5681120158534834,0.7558584819387288
V3,250,0,LR,0.5648148148148149,0.5629773290528438,0.7784636488340193
V3,250,1,Ensemble-DCM-DNN,0.5648148148148149,0.5643508771929825,0.7545581847279378
V3,250,1,Ensemble-PlainDNN,0.5586419753086419,0.55651081346747,0.7562728623685414
V3,250,1,LR,0.5648148148148149,0.5629773290528438,0.778492226794696
V3,250,2,Ensemble-DCM-DNN,0.5740740740740741,0.5753889317929476,0.7572302240512117
V3,250,2,Ensemble-PlainDNN,0.5679012345679012,0.5688955133520223,0.7572588020118886
V3,250,2,LR,0.5648148148148149,0.5629773290528438,0.7785208047553728
V3,125,0,Ensemble-DCM-DNN,0.5925925925925926,0.5903676915536498,0.763974622770919
V3,125,0,Ensemble-PlainDNN,0.5925925925925926,0.5915223665223664,0.7619741655235481
V3,125,0,LR,0.5740740740740741,0.5743043602983362,0.7841363740283493
V3,125,1,Ensemble-DCM-DNN,0.5833333333333334,0.5791311776189448,0.7625314357567444
V3,125,1,Ensemble-PlainDNN,0.5802469135802469,0.5767875073079424,0.7592449702789209
V3,125,1,LR,0.5740740740740741,0.5743043602983362,0.7841077960676727
V3,125,2,Ensemble-DCM-DNN,0.5740740740740741,0.5723827280641106,0.7628886602652035
V3,125,2,Ensemble-PlainDNN,0.5740740740740741,0.5733200471887205,0.7631458619112941
V3,125,2,LR,0.5740740740740741,0.5743043602983362,0.7840649291266576
V3,50,0,Ensemble-DCM-DNN,0.5617283950617283,0.5668165493728939,0.7503000685871056
V3,50,0,Ensemble-PlainDNN,0.5648148148148149,0.5701063801064552,0.7487997256515775
V3,50,0,LR,0.5679012345679012,0.5712251705973367,0.7788208733424783
V3,50,1,Ensemble-DCM-DNN,0.5493827160493827,0.5552424174263574,0.7463991769547325
V3,50,1,Ensemble-PlainDNN,0.5555555555555556,0.5616455760113107,0.7433270461819844
V3,50,1,LR,0.5679012345679012,0.5712251705973367,0.7787351394604481
V3,50,2,Ensemble-DCM-DNN,0.5833333333333334,0.5827125232411576,0.7634745084590765
V3,50,2,Ensemble-PlainDNN,0.5802469135802469,0.5792954608744082,0.7631458619112941
V3,50,2,LR,0.5679012345679012,0.5712251705973367,0.7787922953818015
